distribution,n,method,replications,coverage,mean_width,q10_width,q90_width,mean_sqrt_n_width,q10_sqrt_n_width,q90_sqrt_n_width,mean_sqrt_n_largest_component,mean_normalized_halfwidth,mean_runtime_seconds,mean_score_evaluations,empty_rate
Bernoulli(0.1),1000000,Target-capped feedback,20,1.0,0.0015508515049678,0.00154719242379105,0.0015552981143695,1.5508515049678546,1.54719242379113,1.555298114369592,1.5508515049678,2.584752508279758,0.2826769011371652,31.0,0.0
Bernoulli(0.1),3000000,Capped original feedback,15,1.0,0.0009236998530722534,0.00091436004583418,0.0009414651661647201,1.5998950764651414,1.583718055795958,1.630665501353706,1.5998950764650497,2.666491794108569,1.4334463793978405,31.0,0.0
Bernoulli(0.1),3000000,Common-clock Efficient betting,5,1.0,0.0008926280933306601,0.0008918064868346999,0.0008934132482684601,1.5460772099121005,1.544654145717231,1.5474371381562253,1.5460772099120368,2.576795349853501,2.8619103475939482,123.0,0.0
Bernoulli(0.1),3000000,Common-clock STaR betting,5,1.0,0.0009230922521182294,0.000920544955178243,0.0009266689788476167,1.598842680741953,1.5944306330199316,1.6050377531620414,1.598842680741953,2.6647378012365883,0.6105063653551042,123.0,0.0
Bernoulli(0.1),3000000,Efficient betting,5,1.0,0.00089267677444918,0.0008920784248669801,0.0008932517879936201,1.5461615280827554,1.545125156205643,1.5471574807567616,1.5461615280826826,2.576935880137926,4.075062895985321,31.0,0.0
Bernoulli(0.1),3000000,Gaffke,15,1.0,0.0008927715983329334,0.00089213898740464,0.00089329970351576,1.5463257678672144,1.545230053598006,1.547240472875592,1.5463257678671143,2.5772096131120246,0.0012974997982382332,0.0,0.0
Bernoulli(0.1),3000000,Regularized Efficient betting,15,1.0,0.0008925298210735999,0.00087684050612098,0.0009088395254835001,1.5459069973699051,1.5187323067359935,1.574156234064329,1.5459069973698343,2.576511662283175,4.019061364997954,31.0,0.0
Bernoulli(0.1),3000000,STaR betting,5,1.0,0.0009232741386730498,0.0009209335415298753,0.0009267504497547929,1.5991577174961153,1.5951036843240864,1.6051788649126093,1.5991577174961153,2.6652628624935257,0.9442396046128124,31.0,0.0
Bernoulli(0.1),3000000,Square-root feedback,15,1.0,0.0009138880310152933,0.00089921925534004,0.00092675044975478,1.5829005021476508,1.5574934373933145,1.6051788649125949,1.58290050214757,2.638167503579418,0.82957729078189,31.0,0.0
Bernoulli(0.1),3000000,Squared-hinge feedback,15,1.0,0.0009185159174763733,0.0008967113546569,0.00093598717808472,1.5909162366298952,1.5531496259897202,1.621177347675823,1.5909162366298206,2.6515270610498254,0.82957729078189,31.0,0.0
Bernoulli(0.1),3000000,Target-capped feedback,15,1.0,0.0008943502665168999,0.0008935034449124,0.0008953570624585601,1.5490601013701086,1.5475933633262158,1.5508039230939472,1.5490601013700374,2.5817668356168473,0.82957729078189,31.0,0.0
Bernoulli(0.1),10000000,Capped original feedback,10,1.0,0.0005034151209811499,0.00049779677647438,0.00050893106768433,1.5919383908697982,1.5741716255488114,1.6093813459039614,1.5919383908696527,2.6532306514496637,4.750917464803206,31.0,0.0
Bernoulli(0.1),10000000,Common-clock Efficient betting,5,1.0,0.00048893657781594,0.000488703496853,0.00048913198397164,1.546153217266685,1.5454161505445123,1.546771145787561,1.5461532172665255,2.5769220287778083,9.482072376320138,123.0,0.0
Bernoulli(0.1),10000000,Common-clock STaR betting,5,1.0,0.0005017456058472924,0.0004977813600102298,0.0005068101627127564,1.586658920458542,1.5741228744085836,1.602674455492851,1.586658920458542,2.6444315340975697,1.876846592919901,123.0,0.0
Bernoulli(0.1),10000000,Efficient betting,5,1.0,0.00048885263185946,0.00048872502161874,0.00048896652222944,1.54588775684388,1.545484217830385,1.5462479098165742,1.5458877568436873,2.5764795947398005,13.536902639782056,31.0,0.0
Bernoulli(0.1),10000000,Gaffke,10,1.0,0.00048885293019457,0.00048872074049336,0.00048896492123157,1.5458887002623012,1.5454706797232993,1.5462428470166825,1.5458887002621409,2.5764811671038355,0.00342310030828226,0.0,0.0
Bernoulli(0.1),10000000,Regularized Efficient betting,10,1.0,0.00048752762318686005,0.00047726505196665997,0.0004999224417290399,1.54169771151899,1.5092446118133764,1.580893569296868,1.541697711518795,2.5694961858649834,13.3302443489898,31.0,0.0
