distribution,population_mean,population_variance,replication,n,sampling_fraction,method,width,normalized_width
Bernoulli(0.5),0.5,0.25,5,400,0.1,WSR running intersection,0.13936880249530093,1.1405200809133866
Bernoulli(0.5),0.5,0.25,5,400,0.1,Exact hypergeometric,0.12375,1.012704116603071
Bernoulli(0.5),0.5,0.25,5,400,0.1,Bardenet--Maillard EBS,0.33018305607374865,2.7020423443916597
Bernoulli(0.5),0.5,0.25,5,400,0.1,Shekhar--Ramdas AS-CI,0.2948847939300734,2.4131801594879483
Bernoulli(0.5),0.5,0.25,5,400,0.1,Shekhar--Ramdas rate CI,0.46524910590333707,3.8073509882360206
Bernoulli(0.5),0.5,0.25,5,1200,0.3,Bridge-efficient betting,0.06358133060857657,1.0218798657830799
Bernoulli(0.5),0.5,0.25,5,1200,0.3,WSR running intersection,0.0708972686901691,1.1394617055045444
Bernoulli(0.5),0.5,0.25,5,1200,0.3,Exact hypergeometric,0.06275,1.0085187108248193
Bernoulli(0.5),0.5,0.25,5,1200,0.3,Bardenet--Maillard EBS,0.14107419999205928,2.2673461403447703
Bernoulli(0.5),0.5,0.25,5,1200,0.3,Shekhar--Ramdas AS-CI,0.14910231305082539,2.3963740643668054
Bernoulli(0.5),0.5,0.25,5,1200,0.3,Shekhar--Ramdas rate CI,0.24749763080197568,3.9777847258741925
Bernoulli(0.5),0.5,0.25,5,2000,0.5,Bridge-efficient betting,0.041625427547842264,1.0219210141348538
Bernoulli(0.5),0.5,0.25,5,2000,0.5,WSR running intersection,0.05059355357661843,1.2420921207422908
Bernoulli(0.5),0.5,0.25,5,2000,0.5,Exact hypergeometric,0.041,1.0065665158963855
Bernoulli(0.5),0.5,0.25,5,2000,0.5,Bardenet--Maillard EBS,0.08955181542492013,2.198533142547757
Bernoulli(0.5),0.5,0.25,5,2000,0.5,Shekhar--Ramdas AS-CI,0.09721972299112663,2.3867833621363426
Bernoulli(0.5),0.5,0.25,5,2000,0.5,Shekhar--Ramdas rate CI,0.16327076806052515,4.008363125717309
Bernoulli(0.5),0.5,0.25,5,2800,0.7,Bridge-efficient betting,0.027193203382193998,1.0197821032002754
Bernoulli(0.5),0.5,0.25,5,2800,0.7,WSR running intersection,0.03346748957410445,1.255076366952097
Bernoulli(0.5),0.5,0.25,5,2800,0.7,Exact hypergeometric,0.02675,1.003161373715524
Bernoulli(0.5),0.5,0.25,5,2800,0.7,Bardenet--Maillard EBS,0.06045649807128922,2.267200884307455
Bernoulli(0.5),0.5,0.25,5,2800,0.7,Shekhar--Ramdas AS-CI,0.06253036661170758,2.344973774547137
Bernoulli(0.5),0.5,0.25,5,2800,0.7,Shekhar--Ramdas rate CI,0.1069633353900662,4.011270522134323
Bernoulli(0.5),0.5,0.25,5,3200,0.8,Bridge-efficient betting,0.02087406441569334,1.0249333800732274
Bernoulli(0.5),0.5,0.25,5,3200,0.8,WSR running intersection,0.028050580061972252,1.3773060800903427
Bernoulli(0.5),0.5,0.25,5,3200,0.8,Exact hypergeometric,0.0205,1.0065665158963855
Bernoulli(0.5),0.5,0.25,5,3200,0.8,Bardenet--Maillard EBS,0.048620435381449445,2.3873025484522397
Bernoulli(0.5),0.5,0.25,5,3200,0.8,Shekhar--Ramdas AS-CI,0.04680843790344569,2.298332012440177
Bernoulli(0.5),0.5,0.25,5,3200,0.8,Shekhar--Ramdas rate CI,0.08147382082613036,4.0004302422304585
Bernoulli(0.5),0.5,0.25,5,3600,0.9,Bridge-efficient betting,0.013994110282510464,1.030683133912415
Bernoulli(0.5),0.5,0.25,5,3600,0.9,WSR running intersection,0.02092966604977864,1.5414951976536986
Bernoulli(0.5),0.5,0.25,5,3600,0.9,Exact hypergeometric,0.0135,0.9942913144830148
Bernoulli(0.5),0.5,0.25,5,3600,0.9,Bardenet--Maillard EBS,0.036687958673948196,2.702112493008776
Bernoulli(0.5),0.5,0.25,5,3600,0.9,Shekhar--Ramdas AS-CI,0.030008308165822672,2.2101481608597937
Bernoulli(0.5),0.5,0.25,5,3600,0.9,Shekhar--Ramdas rate CI,0.05370376080924488,3.9553468835337413
Bernoulli(0.5),0.5,0.25,6,400,0.1,Bridge-efficient betting,0.1260429795831441,1.031468640749631
Bernoulli(0.5),0.5,0.25,6,400,0.1,WSR running intersection,0.143503563478589,1.1743567634907248
Bernoulli(0.5),0.5,0.25,6,400,0.1,Exact hypergeometric,0.124,1.0147499835052993
Bernoulli(0.5),0.5,0.25,6,400,0.1,Bardenet--Maillard EBS,0.33018966878986455,2.702096459339801
Bernoulli(0.5),0.5,0.25,6,400,0.1,Shekhar--Ramdas AS-CI,0.29276850968647683,2.3958616159292214
Bernoulli(0.5),0.5,0.25,6,400,0.1,Shekhar--Ramdas rate CI,0.4652654683045005,3.8074848894159454
Bernoulli(0.5),0.5,0.25,6,1200,0.3,Bridge-efficient betting,0.0634746038354933,1.020164551877097
Bernoulli(0.5),0.5,0.25,6,1200,0.3,WSR running intersection,0.07699704570695776,1.2374973908159477
Bernoulli(0.5),0.5,0.25,6,1200,0.3,Exact hypergeometric,0.0625,1.0045007079928479
Bernoulli(0.5),0.5,0.25,6,1200,0.3,Bardenet--Maillard EBS,0.14107320233814286,2.2673301060397244
Bernoulli(0.5),0.5,0.25,6,1200,0.3,Shekhar--Ramdas AS-CI,0.1486113342990275,2.3884830483061585
Bernoulli(0.5),0.5,0.25,6,1200,0.3,Shekhar--Ramdas rate CI,0.24749493324496602,3.9777413707073754
Bernoulli(0.5),0.5,0.25,6,2000,0.5,Bridge-efficient betting,0.04153188271448016,1.019624450793454
Bernoulli(0.5),0.5,0.25,6,2000,0.5,WSR running intersection,0.04927076958119869,1.20961724080197
Bernoulli(0.5),0.5,0.25,6,2000,0.5,Exact hypergeometric,0.041,1.0065665158963855
Bernoulli(0.5),0.5,0.25,6,2000,0.5,Bardenet--Maillard EBS,0.0895541669228257,2.198590872768585
Bernoulli(0.5),0.5,0.25,6,2000,0.5,Shekhar--Ramdas AS-CI,0.09625276095167817,2.3630440545497158
Bernoulli(0.5),0.5,0.25,6,2000,0.5,Shekhar--Ramdas rate CI,0.16327724136927413,4.008522048054718
Bernoulli(0.5),0.5,0.25,6,2800,0.7,Bridge-efficient betting,0.027192762494087253,1.0197655692967682
Bernoulli(0.5),0.5,0.25,6,2800,0.7,WSR running intersection,0.03440797068178669,1.290345687323537
Bernoulli(0.5),0.5,0.25,6,2800,0.7,Exact hypergeometric,0.02675,1.003161373715524
Bernoulli(0.5),0.5,0.25,6,2800,0.7,Bardenet--Maillard EBS,0.060458500788999114,2.2672759889448018
Bernoulli(0.5),0.5,0.25,6,2800,0.7,Shekhar--Ramdas AS-CI,0.061765239586241805,2.31628047069917
Bernoulli(0.5),0.5,0.25,6,2800,0.7,Shekhar--Ramdas rate CI,0.10696889791571057,4.011479124409715
