distribution,n,rep,method,calibration,lower,upper,width,sqrt_n_width,empty,noncoverage,sample_mean_excluded,poisson_round_fraction,evaluations,solvency_c,third_moment_shrinkage,skewness_epsilon
"Beta(2,2)",10,43,PE-betting,Deterministic,0.23221145989373326,0.7432925361208618,0.5110810762271285,1.6161802698878611,False,False,False,0.0,61,1.0,10.0,0.05
"Beta(2,2)",10,43,PE-betting,Uniformly randomized,0.2652504942379892,0.6841229577548802,0.418872463516891,1.324591033839159,False,False,False,0.0,61,1.0,10.0,0.05
"Beta(2,2)",10,44,PE-betting,Deterministic,0.37151250103488564,0.9184365845285356,0.54692408349365,1.7295258110400349,False,False,False,0.3,61,1.0,10.0,0.05
"Beta(2,2)",10,44,PE-betting,Uniformly randomized,0.4021700625307858,0.8721517114900053,0.46998164895921946,1.4862124691928371,False,False,False,0.3,61,1.0,10.0,0.05
"Beta(2,2)",10,45,PE-betting,Deterministic,0.21276801032945514,0.7378272279165685,0.5250592175871134,1.660383034041217,False,False,False,0.0,61,1.0,10.0,0.05
"Beta(2,2)",10,45,PE-betting,Uniformly randomized,0.24310174072161317,0.6447429736144841,0.4016412328928709,1.270101098179611,False,False,False,0.0,61,1.0,10.0,0.05
"Beta(2,2)",10,46,PE-betting,Deterministic,0.08223845949396491,0.7906598527915776,0.7084213932976127,2.240225146010398,False,False,False,0.1,61,1.0,10.0,0.05
"Beta(2,2)",10,46,PE-betting,Uniformly randomized,0.24958586832508445,0.7341706058941782,0.4845847375690937,1.5323914900733018,False,False,False,0.1,61,1.0,10.0,0.05
"Beta(2,2)",10,47,PE-betting,Deterministic,0.08359949523583055,0.8148226696066558,0.7312231743708253,2.3123307089102685,False,False,False,0.1,61,1.0,10.0,0.05
"Beta(2,2)",10,47,PE-betting,Uniformly randomized,0.17633483977988362,0.5938811763189733,0.4175463365390897,1.3203974521227113,False,False,False,0.1,61,1.0,10.0,0.05
"Beta(2,2)",10,48,PE-betting,Deterministic,0.24682886013761163,0.7296267165802419,0.4827978564426303,1.5267408758057102,False,False,False,0.0,61,1.0,10.0,0.05
"Beta(2,2)",10,48,PE-betting,Uniformly randomized,0.27470471942797303,0.7196842660196126,0.4449795465916395,1.4071488794185962,False,False,False,0.0,61,1.0,10.0,0.05
"Beta(2,2)",10,49,PE-betting,Deterministic,0.2036722837947309,0.8498767181299627,0.6462044343352318,2.043477846600048,False,False,False,0.1,61,1.0,10.0,0.05
"Beta(2,2)",10,49,PE-betting,Uniformly randomized,0.2841000440530479,0.7566076363436878,0.4725075922906399,1.4942002033606394,False,False,False,0.1,61,1.0,10.0,0.05
"Beta(2,2)",10,50,PE-betting,Deterministic,0.08916248800233006,0.7208281490020454,0.6316656609997153,1.9975022084748926,False,False,False,0.0,61,1.0,10.0,0.05
"Beta(2,2)",10,50,PE-betting,Uniformly randomized,0.1624203217215836,0.7070529176853597,0.5446325959637761,1.7222794912157604,False,False,False,0.0,61,1.0,10.0,0.05
"Beta(2,2)",10,51,PE-betting,Deterministic,0.2738719847984612,0.8025735947303474,0.5287016099318862,1.6719012899826604,False,False,False,0.0,61,1.0,10.0,0.05
"Beta(2,2)",10,51,PE-betting,Uniformly randomized,0.36128382524475455,0.7660454059951007,0.4047615807503462,1.2799685045012594,False,False,False,0.0,61,1.0,10.0,0.05
"Beta(2,2)",10,52,PE-betting,Deterministic,0.08369508245959878,0.699825496878475,0.6161304144188762,1.9483754452670978,False,False,False,0.0,61,1.0,10.0,0.05
"Beta(2,2)",10,52,PE-betting,Uniformly randomized,0.13824114156886935,0.6577540305443108,0.5195128889754415,1.642844002976574,False,False,False,0.0,61,1.0,10.0,0.05
"Beta(2,2)",10,53,PE-betting,Deterministic,0.19387778686359525,0.7735519367270172,0.5796741498634219,1.8330906142901964,False,False,False,0.1,61,1.0,10.0,0.05
"Beta(2,2)",10,53,PE-betting,Uniformly randomized,0.2027489165775478,0.6046596462838352,0.4019107297062874,1.2709533219321645,False,False,False,0.1,61,1.0,10.0,0.05
"Beta(2,2)",10,54,PE-betting,Deterministic,0.21574819879606366,0.738438171800226,0.5226899730041623,1.6528908248250758,False,False,False,0.4,61,1.0,10.0,0.05
"Beta(2,2)",10,54,PE-betting,Uniformly randomized,0.2534971344284713,0.7239848771132529,0.47048774268478155,1.4878128780751336,False,False,False,0.4,61,1.0,10.0,0.05
"Beta(2,2)",10,55,PE-betting,Deterministic,0.18614571867510676,0.8991483463905752,0.7130026277154684,2.2547122812659777,False,False,False,0.0,61,1.0,10.0,0.05
"Beta(2,2)",10,55,PE-betting,Uniformly randomized,0.18880096497014165,0.744272620882839,0.5554716559126973,1.7565556083494598,False,False,False,0.0,61,1.0,10.0,0.05
"Beta(2,2)",10,56,PE-betting,Deterministic,0.032531102653592825,0.7402428877539933,0.7077117851004004,2.237981167860881,False,False,False,0.2,61,1.0,10.0,0.05
"Beta(2,2)",10,56,PE-betting,Uniformly randomized,0.15414766734465957,0.6615875386632979,0.5074398713186383,1.6046657689496473,False,False,False,0.2,61,1.0,10.0,0.05
"Beta(2,2)",10,57,PE-betting,Deterministic,0.24511859333142638,0.8387706191278994,0.593652025796473,1.8772925390898891,False,False,False,0.0,61,1.0,10.0,0.05
"Beta(2,2)",10,57,PE-betting,Uniformly randomized,0.25250163627788424,0.7593430452980101,0.5068414090201259,1.6027732649926083,False,False,False,0.0,61,1.0,10.0,0.05
"Beta(2,2)",10,58,PE-betting,Deterministic,0.2768898238427937,0.8107284638099372,0.5338386399671435,1.6881460053027686,False,False,False,0.0,61,1.0,10.0,0.05
"Beta(2,2)",10,58,PE-betting,Uniformly randomized,0.2846033093519509,0.7982054152525961,0.5136021059006453,1.6241524657050448,False,False,False,0.0,61,1.0,10.0,0.05
"Beta(2,2)",10,59,PE-betting,Deterministic,0.30254154233261943,0.7908767783083022,0.48833523597568274,1.5442516073989554,False,False,False,0.0,61,1.0,10.0,0.05
"Beta(2,2)",10,59,PE-betting,Uniformly randomized,0.31474874494597316,0.7802780871279538,0.4655293421819806,1.4721330389349585,False,False,False,0.0,61,1.0,10.0,0.05
"Beta(2,2)",10,60,PE-betting,Deterministic,0.03843354759737849,0.6649268534965813,0.6264933058992028,1.981145785490084,False,False,False,0.0,61,1.0,10.0,0.05
"Beta(2,2)",10,60,PE-betting,Uniformly randomized,0.1177420993335545,0.6231094230897725,0.505367323756218,1.5981117980933688,False,False,False,0.0,61,1.0,10.0,0.05
"Beta(2,2)",10,61,PE-betting,Deterministic,0.2378256437368691,0.8413717201910913,0.6035460764542222,1.9085802744534637,False,False,False,0.0,61,1.0,10.0,0.05
"Beta(2,2)",10,61,PE-betting,Uniformly randomized,0.33247127989307046,0.7819988024421036,0.44952752254903316,1.4215308421876451,False,False,False,0.0,61,1.0,10.0,0.05
"Beta(2,2)",10,62,PE-betting,Deterministic,0.20860083820298314,0.832392958458513,0.6237921202555299,1.9726038864731295,False,False,False,0.0,61,1.0,10.0,0.05
"Beta(2,2)",10,62,PE-betting,Uniformly randomized,0.2280783667229116,0.7057405957020819,0.4776622289791703,1.5105005958070634,False,False,False,0.0,61,1.0,10.0,0.05
