distribution,true_mean,true_variance,n,rep,method,lower,upper,width,sqrt_n_width,normalized_halfwidth,covered,empty_center_component,backend,runtime_seconds,u_plus,u_minus
"Uniform(0,1)",0.5,0.08333333333333333,1000000,16,STaR,0.49909018119894033,0.500613462582786,0.0015232813838457204,1.5232813838457204,2.638400751044617,True,False,direct-two-arm,1.2286982536315918,,
"Uniform(0,1)",0.5,0.08333333333333333,1000000,16,Probit-STaR,0.4990195496204741,0.5005427352939571,0.001523185673482974,1.523185673482974,2.6382349758335297,True,False,randomized,3.6611385345458984,0.8544711609908449,0.47165766388303354
"Uniform(0,1)",0.5,0.08333333333333333,1000000,16,Gaffke,0.4990540166995598,0.5005419287773352,0.0014879120777753774,1.4879120777753774,2.5771393159023286,True,False,cornish-fisher,0.036447763442993164,,
"Uniform(0,1)",0.5,0.08333333333333333,10,17,STaR,0.2535574002959873,0.8800457633159173,0.62648836301993,1.9811301547333828,3.431418084405011,True,False,direct-two-arm,0.00037670135498046875,,
"Uniform(0,1)",0.5,0.08333333333333333,10,17,Probit-STaR,0.16190273157302995,0.8338104341142976,0.6719077025412676,2.124758717441311,3.680190052433235,True,False,randomized,0.0003612041473388672,0.6483046224578147,0.14682268357460182
"Uniform(0,1)",0.5,0.08333333333333333,10,17,Gaffke,0.2807218858802683,0.8161547381589991,0.5354328522787308,1.6931873472812666,2.932686512223923,True,False,bspline-exact,0.0005311965942382812,,
"Uniform(0,1)",0.5,0.08333333333333333,50,17,STaR,0.37284409191066337,0.6066384159450302,0.23379432403436684,1.6531755192762583,2.8633839932155416,True,False,direct-two-arm,0.00019288063049316406,,
"Uniform(0,1)",0.5,0.08333333333333333,50,17,Probit-STaR,0.36540949976209225,0.6804949479543374,0.31508544819224515,2.2279905706993914,3.8589928672357248,True,False,randomized,0.0002872943878173828,0.3588167829169626,0.9303646186535675
"Uniform(0,1)",0.5,0.08333333333333333,50,17,Gaffke,0.3857681429627292,0.6149276984005856,0.22915955543785638,1.6204027562380283,2.8066199025289116,True,False,bspline-exact,0.00028324127197265625,,
"Uniform(0,1)",0.5,0.08333333333333333,100,17,STaR,0.3785618520686016,0.5379209935805978,0.15935914151199615,1.5935914151199615,2.7601812974933595,True,False,direct-two-arm,0.00025653839111328125,,
"Uniform(0,1)",0.5,0.08333333333333333,100,17,Probit-STaR,0.3976678978716539,0.5457033022332092,0.14803540436155527,1.4803540436155527,2.564048416732171,True,False,randomized,0.0004811286926269531,0.07766609915384792,0.4744556892403421
"Uniform(0,1)",0.5,0.08333333333333333,100,17,Gaffke,0.39038030601234036,0.5462601209424628,0.15587981493012243,1.5587981493012242,2.6999175933340567,True,False,bspline-exact,0.00040435791015625,,
"Uniform(0,1)",0.5,0.08333333333333333,500,17,STaR,0.46917093447879543,0.5375914215323285,0.0684204870535331,1.529928601053443,2.649914068977339,True,False,direct-two-arm,0.0008544921875,,
"Uniform(0,1)",0.5,0.08333333333333333,500,17,Probit-STaR,0.4699422193679227,0.5362045839439078,0.06626236457598511,1.4816715154177675,2.5663303448311465,True,False,randomized,0.002089262008666992,0.43627647128271774,0.13540403366392773
"Uniform(0,1)",0.5,0.08333333333333333,500,17,Gaffke,0.4693597481413763,0.5380208179754474,0.06866106983407111,1.5353081955684322,2.659231800001419,True,False,bspline-exact,0.00436854362487793,,
"Uniform(0,1)",0.5,0.08333333333333333,1000,17,STaR,0.4763506227515194,0.5257797589416418,0.04942913619012235,1.5630865313544424,2.7073452889324976,True,False,direct-two-arm,0.001642465591430664,,
"Uniform(0,1)",0.5,0.08333333333333333,1000,17,Probit-STaR,0.47301179143307037,0.5296287793876169,0.056616987954546505,1.7903863619468463,3.1010401440703395,True,False,randomized,0.004286527633666992,0.8855957341987792,0.78832687292584
"Uniform(0,1)",0.5,0.08333333333333333,1000,17,Gaffke,0.47679639999137774,0.524996879154102,0.04820047916272424,1.5242329846569433,2.640048971998179,True,False,bspline-exact,0.01773834228515625,,
"Uniform(0,1)",0.5,0.08333333333333333,5000,17,STaR,0.48888847149151715,0.5100208285547714,0.021132357063254226,1.49428329818825,2.588174593363644,True,False,direct-two-arm,0.007753849029541016,,
"Uniform(0,1)",0.5,0.08333333333333333,5000,17,Probit-STaR,0.4878316646268157,0.5097541593043697,0.021922494677554027,1.550154464702445,2.6849462924443706,True,False,randomized,0.019904613494873047,0.7814150300242226,0.2910248608484882
"Uniform(0,1)",0.5,0.08333333333333333,5000,17,Gaffke,0.48863384430630896,0.509780279072414,0.021146434766105004,1.4952787421031812,2.5898987528003903,True,False,bspline-exact,0.437544584274292,,
"Uniform(0,1)",0.5,0.08333333333333333,10000,17,STaR,0.49053889705576414,0.505433389061934,0.01489449200616988,1.489449200616988,2.5798016907614727,True,False,direct-two-arm,0.014567136764526367,,
"Uniform(0,1)",0.5,0.08333333333333333,10000,17,Probit-STaR,0.48967894670957457,0.5040339930793725,0.014355046369797897,1.4355046369797897,2.486366965749713,True,False,randomized,0.040487051010131836,0.4265597133131691,0.10801980929196431
"Uniform(0,1)",0.5,0.08333333333333333,10000,17,Gaffke,0.4896272464591705,0.5045830822721707,0.014955835813000251,1.4955835813000251,2.5904267497774622,True,False,cornish-fisher,0.021543264389038086,,
"Uniform(0,1)",0.5,0.08333333333333333,50000,17,STaR,0.49581799090698064,0.5019558649973976,0.006137874090416995,1.372470370350709,2.377188413330302,True,False,direct-two-arm,0.09473204612731934,,
"Uniform(0,1)",0.5,0.08333333333333333,50000,17,Probit-STaR,0.49635076544127166,0.5029318360182617,0.006581070576990089,1.4715721174873602,2.548837674489825,True,False,randomized,0.18556833267211914,0.06341437600451927,0.7626442735846709
"Uniform(0,1)",0.5,0.08333333333333333,50000,17,Gaffke,0.49607832634861043,0.5027541650928868,0.006675838744276408,1.4927629239028883,2.5855412278548764,True,False,cornish-fisher,0.013797760009765625,,
"Uniform(0,1)",0.5,0.08333333333333333,100000,17,STaR,0.4966938387030508,0.5013909458769117,0.004697107173860904,1.4853557083316968,2.5727115541429573,True,False,direct-two-arm,0.16332268714904785,,
"Uniform(0,1)",0.5,0.08333333333333333,100000,17,Probit-STaR,0.49682688403919734,0.5016419223733166,0.0048150383341192815,1.5226488156839775,2.637305110849228,True,False,randomized,0.3572080135345459,0.5686121938919927,0.6076340366128556
"Uniform(0,1)",0.5,0.08333333333333333,100000,17,Gaffke,0.49688173785055395,0.5015911856428212,0.004709447792267285,1.489258154521613,2.579470789217696,True,False,cornish-fisher,0.012397527694702148,,
"Uniform(0,1)",0.5,0.08333333333333333,500000,17,STaR,0.49812848533083365,0.5002896148972729,0.0021611295664392127,1.5281493714519108,2.6468323529091546,True,False,direct-two-arm,0.64090895652771,,
"Uniform(0,1)",0.5,0.08333333333333333,500000,17,Probit-STaR,0.4982458296375948,0.5003058985742614,0.002060068936666659,1.456688714828755,2.5230588648956154,True,False,randomized,1.8097052574157715,0.09704339602478018,0.5375584117320487
"Uniform(0,1)",0.5,0.08333333333333333,500000,17,Gaffke,0.4981948790948518,0.5002981968358343,0.0021033177409825465,1.487270237638729,2.576027616175317,True,False,cornish-fisher,0.01568436622619629,,
"Uniform(0,1)",0.5,0.08333333333333333,1000000,17,STaR,0.49917338507642317,0.5006632328272942,0.0014898477508710206,1.4898477508710206,2.580492000050827,True,False,direct-two-arm,1.2357866764068604,,
"Uniform(0,1)",0.5,0.08333333333333333,1000000,17,Probit-STaR,0.49925874682813354,0.5007523797771645,0.001493632949030932,1.493632949030932,2.5870481555805096,True,False,randomized,3.6228485107421875,0.2357956904549392,0.7576662504360555
"Uniform(0,1)",0.5,0.08333333333333333,1000000,17,Gaffke,0.4992398107802441,0.5007272152327733,0.0014874044525292063,1.4874044525292063,2.5762600831847555,True,False,cornish-fisher,0.023257017135620117,,
"Uniform(0,1)",0.5,0.08333333333333333,10,18,STaR,0.12004542695159509,0.7420578831188516,0.6220124561672564,1.9669760944841783,3.4069025329199976,True,False,direct-two-arm,0.00042724609375,,
"Uniform(0,1)",0.5,0.08333333333333333,10,18,Probit-STaR,0.08178193203011389,0.8723039787557856,0.7905220467256717,2.4998502082311758,4.329867571968034,True,False,randomized,0.00024175643920898438,0.5964703854580861,0.9455346018489311
"Uniform(0,1)",0.5,0.08333333333333333,10,18,Gaffke,0.17412497785124736,0.7058553435699303,0.5317303657186829,1.6814790567453535,2.912407158145944,True,False,bspline-exact,0.00031638145446777344,,
"Uniform(0,1)",0.5,0.08333333333333333,50,18,STaR,0.3948760158405531,0.636568930903326,0.2416929150627729,1.70902699205631,2.960121581748141,True,False,direct-two-arm,0.00024127960205078125,,
"Uniform(0,1)",0.5,0.08333333333333333,50,18,Probit-STaR,0.4645324907415066,0.7324287892430812,0.2678962985015746,1.8943128932523894,3.2810461765459378,True,False,randomized,0.00037384033203125,0.004508599711946171,0.9289073653657443
"Uniform(0,1)",0.5,0.08333333333333333,50,18,Gaffke,0.38881780847702874,0.6303286842425977,0.24151087576556896,1.7077397798413563,2.957892064791718,True,False,bspline-exact,0.0003418922424316406,,
"Uniform(0,1)",0.5,0.08333333333333333,100,18,STaR,0.4524247440670509,0.621406252525315,0.1689815084582641,1.689815084582641,2.926845581893434,True,False,direct-two-arm,0.0002574920654296875,,
"Uniform(0,1)",0.5,0.08333333333333333,100,18,Probit-STaR,0.4633294693189882,0.6334968093477298,0.17016734002874156,1.7016734002874156,2.9473847871862957,True,False,randomized,0.0004825592041015625,0.19352436917918858,0.44578614445572384
"Uniform(0,1)",0.5,0.08333333333333333,100,18,Gaffke,0.44810342619725124,0.61872917727655,0.17062575107929873,1.7062575107929874,2.955324699489456,True,False,bspline-exact,0.0003821849822998047,,
"Uniform(0,1)",0.5,0.08333333333333333,500,18,STaR,0.48903601923493345,0.5572116183012159,0.06817559906628246,1.5244527391897877,2.640429598014259,True,False,direct-two-arm,0.0008051395416259766,,
"Uniform(0,1)",0.5,0.08333333333333333,500,18,Probit-STaR,0.49332716742514393,0.560605921409572,0.06727875398442806,1.50439867350666,2.6056949373527583,True,False,randomized,0.0021262168884277344,0.028841583641796564,0.7546826820545356
"Uniform(0,1)",0.5,0.08333333333333333,500,18,Gaffke,0.48567609849780224,0.5555284462734766,0.0698523477756744,1.561945980143642,2.7053697962867567,True,False,bspline-exact,0.004364967346191406,,
"Uniform(0,1)",0.5,0.08333333333333333,1000,18,STaR,0.4804902762611363,0.5295074459939408,0.049017169732804566,1.5500590081072951,2.6847809567716534,True,False,direct-two-arm,0.0017015933990478516,,
"Uniform(0,1)",0.5,0.08333333333333333,1000,18,Probit-STaR,0.4728577160627837,0.5334333614001605,0.060575645337376804,1.9155701000066951,3.3178647386713918,True,False,randomized,0.004258632659912109,0.929683366364525,0.9240586714956092
"Uniform(0,1)",0.5,0.08333333333333333,1000,18,Gaffke,0.4809363767486698,0.5295430397283793,0.04860666297970956,1.5370776447606893,2.66229657590382,True,False,bspline-exact,0.01508188247680664,,
"Uniform(0,1)",0.5,0.08333333333333333,5000,18,STaR,0.4893529812007624,0.5106425624296307,0.02128958122886826,1.5054007255554578,2.6074305424131046,True,False,direct-two-arm,0.007798194885253906,,
"Uniform(0,1)",0.5,0.08333333333333333,5000,18,Probit-STaR,0.4873818758384041,0.5114306222674219,0.024048746429017775,1.7005031678994238,2.9453578852336313,True,False,randomized,0.020938873291015625,0.8165904382874417,0.9245590129545221
"Uniform(0,1)",0.5,0.08333333333333333,5000,18,Gaffke,0.48936719100311327,0.5105496498339543,0.021182458830841078,1.4978260281492595,2.594310781653609,True,False,bspline-exact,0.4705533981323242,,
"Uniform(0,1)",0.5,0.08333333333333333,10000,18,STaR,0.4949133584029055,0.5103189526965595,0.015405594293653957,1.5405594293653957,2.6683272037401826,True,False,direct-two-arm,0.014537811279296875,,
"Uniform(0,1)",0.5,0.08333333333333333,10000,18,Probit-STaR,0.4959734728531152,0.5113400150066751,0.015366542153559926,1.5366542153559926,2.6615631746614667,True,False,randomized,0.03833317756652832,0.14195599860605523,0.8982981465246546
"Uniform(0,1)",0.5,0.08333333333333333,10000,18,Gaffke,0.4957921669975436,0.5107519665092782,0.01495979951173465,1.495979951173465,2.59111328253685,True,False,cornish-fisher,0.03991961479187012,,
"Uniform(0,1)",0.5,0.08333333333333333,50000,18,STaR,0.49504006894714764,0.501795499021362,0.006755430074214364,1.5105600863189765,2.6163668173900962,True,False,direct-two-arm,0.07779669761657715,,
"Uniform(0,1)",0.5,0.08333333333333333,50000,18,Probit-STaR,0.4951805438830184,0.5022419662544546,0.007061422371436199,1.578982044036911,2.7348771245108883,True,False,randomized,0.18011140823364258,0.788387468813073,0.7485531815992917
"Uniform(0,1)",0.5,0.08333333333333333,50000,18,Gaffke,0.49549627882418784,0.5021724514864475,0.006676172662259672,1.492837590233837,2.5856705537336944,True,False,cornish-fisher,0.01415109634399414,,
"Uniform(0,1)",0.5,0.08333333333333333,100000,18,STaR,0.4969304401958289,0.5017592617981195,0.004828821602290589,1.5270074677862011,2.6448545177427962,True,False,direct-two-arm,0.14682364463806152,,
"Uniform(0,1)",0.5,0.08333333333333333,100000,18,Probit-STaR,0.4970569428070374,0.5018058120012658,0.0047488691942284555,1.5017242963970459,2.6010627803203077,True,False,randomized,0.3626830577850342,0.684517728064785,0.29067286273178694
"Uniform(0,1)",0.5,0.08333333333333333,100000,18,Gaffke,0.49719481549833267,0.5019092540460002,0.00471443854766751,1.4908363699525626,2.58220433852939,True,False,cornish-fisher,0.01249074935913086,,
"Uniform(0,1)",0.5,0.08333333333333333,500000,18,STaR,0.49840849085409705,0.5005416517023087,0.002133160848211635,1.5083725011320948,2.6125778087005322,True,False,direct-two-arm,0.6247987747192383,,
"Uniform(0,1)",0.5,0.08333333333333333,500000,18,Probit-STaR,0.4984935242502251,0.5005905153061037,0.002096991055878572,1.4827965956992768,2.5682790410413148,True,False,randomized,1.804288387298584,0.28013616443852707,0.5523310497736138
"Uniform(0,1)",0.5,0.08333333333333333,500000,18,Gaffke,0.4984860946304197,0.5005917818269336,0.002105687196513939,1.4889456957126965,2.57892959468538,True,False,cornish-fisher,0.019179821014404297,,
"Uniform(0,1)",0.5,0.08333333333333333,1000000,18,STaR,0.4987189862953884,0.5002445715710386,0.0015255852756502208,1.5255852756502208,2.6423912087051535,True,False,direct-two-arm,1.2354693412780762,,
"Uniform(0,1)",0.5,0.08333333333333333,1000000,18,Probit-STaR,0.4987940781922446,0.500313071606385,0.0015189934141404682,1.5189934141404682,2.6309737696538043,True,False,randomized,3.626779556274414,0.36862520554720435,0.8752987019000327
"Uniform(0,1)",0.5,0.08333333333333333,1000000,18,Gaffke,0.4987933030149491,0.5002818043640986,0.001488501349149518,1.488501349149518,2.5781599638617863,True,False,cornish-fisher,0.03979921340942383,,
"Uniform(0,1)",0.5,0.08333333333333333,10,19,STaR,0.16919940350604476,0.7615762641822235,0.5923768606761787,1.8732601129169564,3.2445816913643806,True,False,direct-two-arm,0.0003609657287597656,,
"Uniform(0,1)",0.5,0.08333333333333333,10,19,Probit-STaR,0.3019958822629,0.8463969858052669,0.5444011035423669,1.7215474479030397,2.9818076474086,True,False,randomized,0.00017070770263671875,0.05410691709534521,0.5301731288373088
