distribution,n,method,replications,coverage,mean_width,median_width,q10_width,q90_width,mean_sqrt_n_width,mean_normalized_halfwidth,mean_runtime_seconds,empty_rate
"Beta(1,5)",500,Probit-STaR,50,0.98,0.036878851142816076,0.0367936547715869,0.03133670366816845,0.041828091465568,0.8246361808743256,2.9271680628498458,0.0022528934478759765,0.0
"Beta(1,5)",500,STaR,50,0.98,0.034911393363218454,0.03519243856394892,0.03162341326391449,0.03739188509190232,0.7806424874939148,2.771005942854807,0.0008641147613525391,0.0
"Beta(1,5)",1000,Gaffke,50,1.0,0.02424613678938742,0.02421145056372981,0.023432973030010264,0.025245376251264228,0.7667301671446651,2.721622104562286,0.018591899871826172,0.0
"Beta(1,5)",1000,Probit-STaR,50,1.0,0.02507376182302721,0.0252113217571662,0.022485957305578327,0.028036649657071474,0.7929019686934171,2.814522784180206,0.004386124610900879,0.0
"Beta(1,5)",1000,STaR,50,1.0,0.024378903169743137,0.02446257482926878,0.02257062916629572,0.025801973036093613,0.7709286087308682,2.7365250937954824,0.0017608737945556641,0.0
"Beta(1,5)",5000,Gaffke,50,1.0,0.010462816716760082,0.010460828721886015,0.010317062199730415,0.010637041376563617,0.7398328650733024,2.626146153559698,0.4902125358581543,0.0
"Beta(1,5)",5000,Probit-STaR,50,0.96,0.010559254324449943,0.010610687018375323,0.009778659853807206,0.011454802859537674,0.7466520337091932,2.6503518009823024,0.02022444725036621,0.0
"Beta(1,5)",5000,STaR,50,0.98,0.010583122499224577,0.01061645422690026,0.01016603197856485,0.010952856418558286,0.748339768532962,2.656342665304382,0.007744836807250977,0.0
"Beta(1,5)",10000,Gaffke,50,1.0,0.007352975887783089,0.007359051303299752,0.007266159094633693,0.007433053426347083,0.7352975887783089,2.610047519719949,0.02362894535064697,0.0
"Beta(1,5)",10000,Probit-STaR,50,1.0,0.007422647702336529,0.007403104078152534,0.0069313712221495795,0.00804207285996426,0.7422647702336529,2.6347785605318377,0.039060630798339845,0.0
"Beta(1,5)",10000,STaR,50,1.0,0.007379695573293257,0.007454269014647505,0.00699461114443693,0.007646394388045682,0.7379695573293258,2.619532067195398,0.014998407363891601,0.0
"Beta(1,5)",50000,Gaffke,30,1.0,0.003262665541579094,0.0032616967054352186,0.003250803183921289,0.003275743118653629,0.7295541938817022,2.589660490259446,0.02705503304799398,0.0
"Beta(1,5)",50000,Probit-STaR,30,1.0,0.0032939604228780653,0.0032551243670354557,0.0031414905728220865,0.0034497059350622806,0.7365519420749307,2.6145000322273546,0.18451273441314697,0.0
"Beta(1,5)",50000,STaR,30,1.0,0.0032936267033617183,0.003319532434668926,0.0031838205776513946,0.00337859549682219,0.7364773201225338,2.6142351505729833,0.08875712553660074,0.0
"Beta(1,5)",100000,Gaffke,30,1.0,0.0023042888103089426,0.0023037330535322226,0.002299080446368104,0.002312129242186023,0.7286801027415942,2.5865577745058985,0.02271284262339274,0.0
"Beta(1,5)",100000,Probit-STaR,30,1.0,0.0023124211233759517,0.002325682720755451,0.0021667124461301006,0.002403320177385729,0.731251765935324,2.595686273283518,0.36551698048909503,0.0
"Beta(1,5)",100000,STaR,30,1.0,0.0023447850411997206,0.0023715005756799884,0.0022823297498315936,0.0024019000455936857,0.741486135368287,2.632014680940593,0.1568418025970459,0.0
"Beta(1,5)",500000,Gaffke,20,1.0,0.0010280446430493196,0.001027855348083112,0.0010267178578826641,0.0010294665568937266,0.7269373384626776,2.580371574995574,0.025033724308013917,0.0
"Beta(1,5)",500000,Probit-STaR,20,1.0,0.0010452434291296428,0.0010460680204383566,0.0010108436336430022,0.001079644779807981,0.739098716728251,2.6235401854505254,1.816477930545807,0.0
"Beta(1,5)",500000,STaR,20,1.0,0.0010608880662034276,0.001063023772756147,0.0010394658944453323,0.0010704353106391923,0.7501611456923266,2.6628079128583315,0.6427532792091369,0.0
"Beta(1,5)",1000000,Gaffke,20,1.0,0.0007264925295981009,0.0007265576795570106,0.0007259587544752227,0.0007271138173867459,0.726492529598101,2.5787926601569344,0.0403422474861145,0.0
"Beta(1,5)",1000000,Probit-STaR,20,1.0,0.0007308319719190604,0.0007312506963792348,0.0007119922938348761,0.0007502193456409595,0.7308319719190604,2.594196152347908,3.663530373573303,0.0
