distribution,true_mean,true_variance,n,rep,method,lower,upper,width,sqrt_n_width,normalized_halfwidth,covered,empty_center_component,backend,runtime_seconds,score_evaluations,adjacent_component_width,full_set_diameter,largest_component_width,topology_component_count,topology_scan_points,topology_point_budget_reached
Bernoulli(0.1),0.1,0.09,3000,23,Capped original feedback,0.0813908981280807,0.1128371816798708,0.03144628355179,1.7223838851019089,2.870639808503181,True,False,local-batched-bisection,0.0020512950140982,31,,,,,,
Bernoulli(0.1),0.1,0.09,3000,24,Capped original feedback,0.0869916567888946,0.1189750330851583,0.0319833762962636,1.751801666263964,2.919669443773273,True,False,local-batched-bisection,0.0020183930173516,31,,,,,,
Bernoulli(0.1),0.1,0.09,3000,25,Capped original feedback,0.09162788404066,0.1239702091051009,0.0323423250644408,1.7714620999958983,2.9524368333264976,True,False,local-batched-bisection,0.0021400830009952,32,,,,,,
Bernoulli(0.1),0.1,0.09,3000,26,Capped original feedback,0.0851744018335509,0.1171853856812091,0.0320109838476582,1.753313794129592,2.922189656882653,True,False,local-batched-bisection,0.0025061439955607,32,,,,,,
Bernoulli(0.1),0.1,0.09,3000,27,Capped original feedback,0.0861612730744371,0.1180520815848378,0.0318908085104006,1.7467315198224158,2.9112191997040267,True,False,local-batched-bisection,0.0023856760235503,31,,,,,,
Bernoulli(0.1),0.1,0.09,3000,28,Capped original feedback,0.088794230703347,0.1211978576933294,0.0324036269899824,1.7748197447396592,2.9580329078994323,True,False,local-batched-bisection,0.0022290000342763,31,,,,,,
Bernoulli(0.1),0.1,0.09,3000,29,Capped original feedback,0.0818561938071314,0.1134467781628338,0.0315905843557023,1.7302875656387982,2.883812609397997,True,False,local-batched-bisection,0.0022521550417877,32,,,,,,
Bernoulli(0.1),0.1,0.09,3000,30,Capped original feedback,0.0799641249524414,0.1115082412591837,0.0315441163067422,1.7277424057769275,2.8795706762948794,True,False,local-batched-bisection,0.0025449680397287,32,,,,,,
Bernoulli(0.1),0.1,0.09,3000,31,Capped original feedback,0.0842598245526337,0.1160473528009631,0.0317875282483293,1.7410746268942658,2.9017910448237765,True,False,local-batched-bisection,0.0023704379564151,32,,,,,,
Bernoulli(0.1),0.1,0.09,3000,32,Capped original feedback,0.0828006077483402,0.1144131035966571,0.0316124958483168,1.7314877075161574,2.8858128458602623,True,False,local-batched-bisection,0.002488269994501,31,,,,,,
Bernoulli(0.1),0.1,0.09,3000,33,Capped original feedback,0.0838474589006297,0.1160975366179561,0.0322500777173264,1.76640950470744,2.9440158411790667,True,False,local-batched-bisection,0.0024092309758998,32,,,,,,
Bernoulli(0.1),0.1,0.09,3000,34,Capped original feedback,0.0735048606959159,0.1039397592738756,0.0304348985779597,1.6669880486530466,2.7783134144217443,True,False,local-batched-bisection,0.0023398799821734,31,,,,,,
Bernoulli(0.1),0.1,0.09,3000,35,Capped original feedback,0.0871265729361873,0.118696884480088,0.0315703115439007,1.7291771780060188,2.8819619633433646,True,False,local-batched-bisection,0.0021522850147448,32,,,,,,
Bernoulli(0.1),0.1,0.09,3000,36,Capped original feedback,0.08861039091757,0.1205428927131792,0.0319325017956091,1.7490151551029376,2.915025258504896,True,False,local-batched-bisection,0.0023621920263394,31,,,,,,
Bernoulli(0.1),0.1,0.09,3000,37,Capped original feedback,0.0901237445514871,0.1226782945566324,0.0325545500051452,1.7830861387247985,2.9718102312079973,True,False,local-batched-bisection,0.0022325369645841,32,,,,,,
Bernoulli(0.1),0.1,0.09,3000,38,Capped original feedback,0.0889771636487899,0.121062301532912,0.032085137884122,1.757375377979722,2.9289589632995368,True,False,local-batched-bisection,0.0020783960353583,31,,,,,,
Bernoulli(0.1),0.1,0.09,3000,39,Capped original feedback,0.0779614883812855,0.1090635219647183,0.0311020335834328,1.7035285377929397,2.8392142296549,True,False,local-batched-bisection,0.0020629570353776,31,,,,,,
Bernoulli(0.1),0.1,0.09,3000,40,Capped original feedback,0.0880356653396192,0.120228004752846,0.0321923394132268,1.7632470475486943,2.938745079247824,True,False,local-batched-bisection,0.0020824940293096,31,,,,,,
Bernoulli(0.1),0.1,0.09,3000,41,Capped original feedback,0.0874236279161488,0.1193757181215487,0.0319520902053999,1.7500880564937422,2.9168134274895703,True,False,local-batched-bisection,0.0024187890230678,32,,,,,,
Bernoulli(0.1),0.1,0.09,3000,42,Capped original feedback,0.0868429606372479,0.1185187972932309,0.0316758366559829,1.734957026433087,2.891595044055145,True,False,local-batched-bisection,0.002387098968029,31,,,,,,
Bernoulli(0.1),0.1,0.09,3000,43,Capped original feedback,0.0870227390336522,0.1195894207773451,0.0325666817436928,1.7837506214112262,2.972917702352044,True,False,local-batched-bisection,0.0023784430231899,31,,,,,,
Bernoulli(0.1),0.1,0.09,3000,44,Capped original feedback,0.0827359913502037,0.1146091066710045,0.0318731153208008,1.7457624239166114,2.9096040398610192,True,False,local-batched-bisection,0.0020843879901804,31,,,,,,
Bernoulli(0.1),0.1,0.09,3000,45,Capped original feedback,0.0854896827813595,0.1170199444415858,0.0315302616602263,1.726983555534625,2.8783059258910413,True,False,local-batched-bisection,0.0023325660149566,31,,,,,,
Bernoulli(0.1),0.1,0.09,3000,46,Capped original feedback,0.0806571503046167,0.111720276898675,0.0310631265940582,1.7013975142204336,2.835662523700723,True,False,local-batched-bisection,0.0021771530155092,32,,,,,,
