distribution,true_mean,true_variance,n,rep,method,calibration,lower,upper,width,sqrt_n_width,covered,empty,runtime_seconds,score_evaluations,topology_escalated,backend
"Beta(2,2)",0.5,0.05,1000,1,Original STaR,randomized_markov,0.4640542551311942,0.5028679447626627,0.0388136896314684,1.227396636303018,True,False,0.0013128619175404,84,False,
"Beta(2,2)",0.5,0.05,1000,1,Squared-hinge STaR,randomized_markov,0.4638541333541058,0.5032029003611938,0.0393487670070879,1.244317268616848,True,False,0.002321908948943,84,False,
"Beta(2,2)",0.5,0.05,1000,1,Efficient betting,randomized_markov,0.4654896621493448,0.5026444044797449,0.0371547423304001,1.174936116407367,True,False,0.001421146094799,123,False,
"Beta(2,2)",0.5,0.05,1000,1,Gaffke,not_applicable,0.4655185214456793,0.5034005391051992,0.0378820176595199,1.1979345816680391,True,False,0.0164531590417027,0,False,bspline-exact
"Beta(2,2)",0.5,0.05,10000,1,Original STaR,deterministic_markov,0.4936592987664356,0.5055459296499751,0.0118866308835395,1.1886630883539528,True,False,0.0055715811904519,86,False,
"Beta(2,2)",0.5,0.05,10000,1,Squared-hinge STaR,deterministic_markov,0.4935970790579298,0.505583705901568,0.0119866268436381,1.198662684363816,True,False,0.014776580967009,86,False,
"Beta(2,2)",0.5,0.05,10000,1,Efficient betting,deterministic_markov,0.4933263720459501,0.5049197498198399,0.0115933777738898,1.15933777738898,True,False,0.0106289410032331,123,False,
"Beta(2,2)",0.5,0.05,10000,1,Original STaR,randomized_markov,0.4936592987664356,0.5055459296499751,0.0118866308835395,1.1886630883539528,True,False,0.0054684760980308,86,False,
"Beta(2,2)",0.5,0.05,10000,1,Squared-hinge STaR,randomized_markov,0.4935970790579298,0.505583705901568,0.0119866268436381,1.198662684363816,True,False,0.0143975340761244,86,False,
"Beta(2,2)",0.5,0.05,10000,1,Efficient betting,randomized_markov,0.4933266455391743,0.5049010155339821,0.0115743699948078,1.157436999480782,True,False,0.0097333469893783,123,False,
"Beta(2,2)",0.5,0.05,10000,1,Gaffke,not_applicable,0.493370416367356,0.505013228663589,0.0116428122962329,1.164281229623293,True,False,0.00019455794245,0,False,cornish-fisher-moments
"Beta(2,2)",0.5,0.05,100000,1,Original STaR,deterministic_markov,0.4981044178018236,0.5016683201545087,0.0035639023526851,1.1270048792917655,True,False,0.0509170019067823,90,False,
"Beta(2,2)",0.5,0.05,100000,1,Squared-hinge STaR,deterministic_markov,0.4981160622491437,0.5016182350015775,0.0035021727524338,1.1074842657071835,True,False,0.1359976578969508,90,False,
"Beta(2,2)",0.5,0.05,100000,1,Efficient betting,deterministic_markov,0.4980383336747014,0.5016924238367048,0.0036540901620032,1.1555247687544086,True,False,0.094653882086277,123,False,
"Beta(2,2)",0.5,0.05,100000,1,Original STaR,randomized_markov,0.4981044178018236,0.5016683201545087,0.0035639023526851,1.1270048792917655,True,False,0.0507136369124054,90,False,
"Beta(2,2)",0.5,0.05,100000,1,Squared-hinge STaR,randomized_markov,0.4981160622491437,0.5016182350015775,0.0035021727524338,1.1074842657071835,True,False,0.1343684080056846,90,False,
"Beta(2,2)",0.5,0.05,100000,1,Efficient betting,randomized_markov,0.498039412863517,0.5016912583127839,0.0036518454492668,1.154814928260424,True,False,0.0923296890687197,123,False,
"Beta(2,2)",0.5,0.05,100000,1,Gaffke,not_applicable,0.498054385091114,0.5017079559148316,0.0036535708237176,1.1553605395685291,True,False,0.0004040030762553,0,False,cornish-fisher-moments
"Beta(2,2)",0.5,0.05,1000000,1,Original STaR,deterministic_markov,0.499674749818416,0.5008655015190318,0.0011907517006157,1.1907517006157775,True,False,0.4959452780894935,94,False,
"Beta(2,2)",0.5,0.05,1000000,1,Squared-hinge STaR,deterministic_markov,0.4996774120050253,0.5008723344646628,0.0011949224596374,1.194922459637482,True,False,1.3143579349853098,94,False,
