distribution,method,n,reps,mean_width_c1,mean_width_c05,mean_sqrt_n_width_c1,mean_sqrt_n_width_c05,mean_largest_component_width_c1,mean_largest_component_width_c05,width_relative_change,sqrt_n_width_relative_change,largest_component_width_relative_change
Bernoulli(0.5),Common-clock Efficient betting,30000,30,0.014873277547106333,0.01487453428534168,2.576127238666165,2.5763449121137105,0.014873277547106333,0.01487453428534168,8.449638832908057e-05,8.449638832974671e-05,8.449638832908057e-05
Bernoulli(0.5),Common-clock Efficient betting,100000,30,0.008146052695408672,0.008147487405809313,2.5760080457245396,2.5764617409894166,0.008146052695408672,0.008147487405809313,0.00017612338813499662,0.0001761233881354407,0.00017612338813499662
Bernoulli(0.5),Common-clock Efficient betting,300000,30,0.00470310590849597,0.00470309476538812,2.5759971964190984,2.5759910930875667,0.00470310590849597,0.00470309476538812,-2.369308297001105e-06,-2.369308297445194e-06,-2.369308297001105e-06
Bernoulli(0.5),Common-clock Efficient betting,1000000,30,0.0025758488000959066,0.0025758650761428833,2.5758488000959607,2.575865076142934,0.0025758488000959066,0.0025758650761428833,6.318712098440926e-06,6.3187120971086586e-06,6.318712098440926e-06
Bernoulli(0.5),Common-clock Efficient betting,3000000,30,0.0014871773279257498,0.0014871538354798467,2.5758666918320037,2.5758260017221115,0.0014871773279257498,0.0014871538354798467,-1.579666759432552e-05,-1.579666759199405e-05,-1.579666759432552e-05
Bernoulli(0.5),Common-clock Efficient betting,10000000,30,0.00081455124286753,0.0008145538163350934,2.575837198382525,2.5758453364014975,0.00081455124286753,0.0008145538163350934,3.159368530791795e-06,3.159368525906814e-06,3.159368530791795e-06
Bernoulli(0.5),Common-clock STaR betting,1000,30,0.08344458121962116,0.08325857945938202,2.63874935052914,2.6328674584175777,0.08344458121962116,0.08325857945938202,-0.0022290454037943164,-0.0022290454037944274,-0.0022290454037943164
Bernoulli(0.5),Common-clock STaR betting,3000,30,0.047825652999911164,0.04784437031956225,2.619518897546599,2.6205440873654933,0.047825652999911164,0.04784437031956225,0.00039136568926978477,0.0003913656892700068,0.00039136568926978477
Bernoulli(0.5),Common-clock STaR betting,10000,30,0.02619981214196155,0.02620029031144318,2.6199812141961596,2.620029031144323,0.02619981214196155,0.02620029031144318,1.825087443529938e-05,1.825087443529938e-05,1.825087443529938e-05
Bernoulli(0.5),Common-clock STaR betting,30000,30,0.015099520792652968,0.015098269803299971,2.615313718281771,2.6150970405698604,0.015099520792652968,0.015098269803299971,-8.284960630045024e-05,-8.284960630000615e-05,-8.284960630045024e-05
Bernoulli(0.5),Common-clock STaR betting,100000,30,0.008318526164593583,0.008318757776682693,2.6305489455820594,2.630622187755582,0.008318526164593583,0.008318757776682693,2.78429236775235e-05,2.7842923677745546e-05,2.78429236775235e-05
Bernoulli(0.5),Common-clock STaR betting,300000,30,0.0047914417887821,0.004791436217045406,2.6243807506888865,2.6243776989230145,0.0047914417887821,0.004791436217045406,-1.1628517968542695e-06,-1.1628517970763141e-06,-1.1628517968542695e-06
Bernoulli(0.5),Common-clock STaR betting,1000000,30,0.002649063492226823,0.0026490746819980864,2.6490634922268663,2.649074681998128,0.002649063492226823,0.0026490746819980864,4.22404796873721e-06,4.224047968071076e-06,4.22404796873721e-06
Bernoulli(0.5),Common-clock STaR betting,3000000,30,0.0015174244349169068,0.00151742384760551,2.628256217922659,2.6282552006694813,0.0015174244349169068,0.00151742384760551,-3.870449053477998e-07,-3.8704490479268827e-07,-3.870449053477998e-07
Bernoulli(0.5),Common-clock STaR betting,10000000,30,0.00083301491158618,0.0008330142682191201,2.634224445496288,2.6342224109910077,0.00083301491158618,0.0008330142682191201,-7.723355860411729e-07,-7.723355858191283e-07,-7.723355860411729e-07
Bernoulli(0.5),Efficient betting,1000,30,0.08127813566861544,0.08104985293958053,2.5702403268499747,2.5630213931076815,0.08127813566861544,0.08104985293958053,-0.0028086609905234594,-0.0028086609905232374,-0.0028086609905234594
Bernoulli(0.5),Efficient betting,3000,30,0.04701609608075005,0.04703243424695576,2.575177638925706,2.57607251714362,0.04701609608075005,0.04703243424695576,0.0003475015487812705,0.0003475015487812705,0.0003475015487812705
