distribution,n,rep,method,width,sqrt_n_width
"Beta(1,5)",10,20,Gaffke,0.4404931044628139,1.3929615037009728
"Beta(1,5)",50,20,Gaffke,0.142190373698198,1.0054377746144516
"Beta(1,5)",100,20,Gaffke,0.0907161064234111,0.9071610642341116
"Beta(1,5)",500,20,Gaffke,0.0352697947743471,0.7886565866790699
"Beta(1,5)",10,21,Gaffke,0.4361199942559379,1.3791325149883145
"Beta(1,5)",50,21,Gaffke,0.1356154924892141,0.958946343730766
"Beta(1,5)",100,21,Gaffke,0.0905847665191532,0.9058476651915328
"Beta(1,5)",500,21,Gaffke,0.0368803737389257,0.8246702271583606
"Beta(1,5)",10,22,Gaffke,0.4425547315655379,1.3994809410315143
"Beta(1,5)",50,22,Gaffke,0.1407604187064601,0.9953264658999574
"Beta(1,5)",100,22,Gaffke,0.0874782186306522,0.8747821863065219
"Beta(1,5)",500,22,Gaffke,0.0357317149443699,0.7989854356825637
"Beta(1,5)",10,23,Gaffke,0.4807216043308178,1.520175190135648
"Beta(1,5)",50,23,Gaffke,0.1559367601793241,1.1026394055906052
"Beta(1,5)",100,23,Gaffke,0.1065875784007268,1.0658757840072683
"Beta(1,5)",500,23,Gaffke,0.0378299050432666,0.8459023925910639
"Beta(1,5)",10,24,Gaffke,0.4546670934802211,1.4377835925261917
"Beta(1,5)",50,24,Gaffke,0.142486762346837,1.0075335588476446
"Beta(1,5)",100,24,Gaffke,0.090423182492731,0.90423182492731
"Beta(1,5)",500,24,Gaffke,0.0339224063495734,0.7585280655801665
"Beta(1,5)",10,25,Gaffke,0.4711397854213037,1.489874818254313
"Beta(1,5)",50,25,Gaffke,0.1457692105463154,1.0307439726550924
"Beta(1,5)",100,25,Gaffke,0.0938162633930441,0.938162633930442
"Beta(1,5)",500,25,Gaffke,0.0337432574604698,0.7545221746388746
"Beta(1,5)",10,26,Gaffke,0.4738135697009866,1.4983300665500632
"Beta(1,5)",50,26,Gaffke,0.1561012061134033,1.1038022139418644
"Beta(1,5)",100,26,Gaffke,0.0972647071911584,0.9726470719115844
"Beta(1,5)",500,26,Gaffke,0.0377916881562518,0.8450478370185293
"Beta(1,5)",10,27,Gaffke,0.4588420012139619,1.450985809985864
"Beta(1,5)",50,27,Gaffke,0.1518812247441011,1.0739624395147198
"Beta(1,5)",100,27,Gaffke,0.0907345274148533,0.9073452741485336
"Beta(1,5)",500,27,Gaffke,0.0363511239689837,0.8128358425316966
"Beta(1,5)",10,28,Gaffke,0.4387373805346017,1.387409417145364
"Beta(1,5)",50,28,Gaffke,0.1475507446728331,1.043341321272852
"Beta(1,5)",100,28,Gaffke,0.0868379832364588,0.8683798323645882
"Beta(1,5)",500,28,Gaffke,0.0328064722724297,0.7335750210311486
"Beta(1,5)",10,29,Gaffke,0.4439635907597216,1.4039361449876044
"Beta(1,5)",50,29,Gaffke,0.1363307432185534,0.9640039301404104
"Beta(1,5)",100,29,Gaffke,0.087049704972642,0.8704970497264202
"Beta(1,5)",500,29,Gaffke,0.035990502664608,0.804772105024509
"Beta(1,5)",10,30,Gaffke,0.4497613491705886,1.4222702668893423
"Beta(1,5)",50,30,Gaffke,0.1537354589949249,1.0870738556413784
"Beta(1,5)",100,30,Gaffke,0.0961443699371426,0.9614436993714264
"Beta(1,5)",500,30,Gaffke,0.0349359038319821,0.7811905582370753
"Beta(1,5)",10,31,Gaffke,0.4576768975584223,1.447301428724171
"Beta(1,5)",50,31,Gaffke,0.1376496326004695,0.973329886396289
"Beta(1,5)",100,31,Gaffke,0.0949436543617959,0.9494365436179591
"Beta(1,5)",500,31,Gaffke,0.0356668799702328,0.7975356815876627
"Beta(1,5)",10,32,Gaffke,0.4701661926414811,1.4867960475565785
"Beta(1,5)",50,32,Gaffke,0.1422806784494023,1.0060763256339504
"Beta(1,5)",100,32,Gaffke,0.0849783123361607,0.8497831233616077
"Beta(1,5)",500,32,Gaffke,0.0350330299204331,0.7833623635987249
"Beta(1,5)",10,33,Gaffke,0.4407638936291513,1.393817814232297
"Beta(1,5)",50,33,Gaffke,0.1376375154572746,0.9732442052550714
"Beta(1,5)",100,33,Gaffke,0.088931634320201,0.8893163432020101
"Beta(1,5)",500,33,Gaffke,0.0360155233190935,0.8053315838672209
"Beta(1,5)",10,34,Gaffke,0.4259904525002178,1.347100091386458
"Beta(1,5)",50,34,Gaffke,0.1366448526271806,0.9662250190691584
"Beta(1,5)",100,34,Gaffke,0.0871192596642017,0.8711925966420171
"Beta(1,5)",500,34,Gaffke,0.0342813758452252,0.7665548675214292
"Beta(1,5)",10,35,Gaffke,0.4727756271781913,1.4950478040976891
"Beta(1,5)",50,35,Gaffke,0.141269733894039,0.9989278681289404
"Beta(1,5)",100,35,Gaffke,0.0872669241320221,0.8726692413202214
"Beta(1,5)",500,35,Gaffke,0.0351968413226349,0.7870252979068524
"Beta(1,5)",10,36,Gaffke,0.4444200192062259,1.4053794984674504
"Beta(1,5)",50,36,Gaffke,0.1372262460975759,0.9703360917236992
"Beta(1,5)",100,36,Gaffke,0.0889353539324769,0.8893535393247689
"Beta(1,5)",500,36,Gaffke,0.0374782924282951,0.8380400955028355
"Beta(1,5)",10,37,Gaffke,0.4600961038039841,1.4549516305898509
"Beta(1,5)",50,37,Gaffke,0.1538357510697175,1.0877830277032297
"Beta(1,5)",100,37,Gaffke,0.0916613880096501,0.9166138800965016
"Beta(1,5)",500,37,Gaffke,0.034958719454554,0.7817007310672719
"Beta(1,5)",10,38,Gaffke,0.4887007123541188,1.5454073451858032
"Beta(1,5)",50,38,Gaffke,0.1459690250393044,1.0321568744848115
"Beta(1,5)",100,38,Gaffke,0.0908881594665445,0.9088815946654456
"Beta(1,5)",500,38,Gaffke,0.0361944052508299,0.8093315054603104
"Beta(1,5)",10,39,Gaffke,0.4317251613998074,1.3652348332271989
"Beta(1,5)",50,39,Gaffke,0.1474866112134563,1.042887829232589
"Beta(1,5)",100,39,Gaffke,0.0898889121832781,0.8988891218327816
"Beta(1,5)",500,39,Gaffke,0.0352723239399777,0.7887131405418348
"Beta(1,5)",10,40,Gaffke,0.4527516437791103,1.4317264087271928
"Beta(1,5)",50,40,Gaffke,0.1317732656855217,0.93177769745329
"Beta(1,5)",100,40,Gaffke,0.0794996214148026,0.7949962141480269
"Beta(1,5)",500,40,Gaffke,0.0335655332137475,0.7505481396696639
"Beta(1,5)",10,41,Gaffke,0.4408723175149106,1.3941606806640623
"Beta(1,5)",50,41,Gaffke,0.1471406625708317,1.0404416029211676
"Beta(1,5)",100,41,Gaffke,0.0930176737515707,0.9301767375157072
"Beta(1,5)",500,41,Gaffke,0.0376288780265154,0.8414072918433665
"Beta(1,5)",10,42,Gaffke,0.4438858419370606,1.4036902816225991
