distribution,method,n,rep,width_c1,sqrt_n_width_c1,largest_component_width_c1,width_c05,sqrt_n_width_c05,largest_component_width_c05,width_relative_change,sqrt_n_width_relative_change,largest_component_width_relative_change
Bernoulli(0.1),Common-clock Efficient betting,30000,14,0.0089981209417979,1.5585202643843503,0.0089981209417979,0.0090099574877975,1.5605704142900978,0.0090099574877975,0.0013154464222209228,0.0013154464222235873,0.0013154464222209228
Bernoulli(0.1),Common-clock Efficient betting,30000,15,0.0089987976831266,1.5586374794208442,0.0089987976831266,0.0090171003942082,1.5618076019718088,0.0090171003942082,0.0020339062757148696,0.0020339062757188664,0.0020339062757148696
Bernoulli(0.1),Common-clock Efficient betting,30000,16,0.008809869356991,1.5259141334352595,0.008809869356991,0.0088143915532707,1.5266974008070826,0.0088143915532707,0.000513310254267374,0.0005133102542669299,0.000513310254267374
Bernoulli(0.1),Common-clock Efficient betting,30000,17,0.0089538449248322,1.55085143329022,0.0089538449248322,0.0089285800654761,1.5464754312851334,0.0089285800654761,-0.0028216771195166412,-0.0028216771195178625,-0.0028216771195166412
Bernoulli(0.1),Common-clock Efficient betting,30000,18,0.0088512380280354,1.533079397444315,0.0088512380280354,0.0088547080296383,1.5336804193521705,0.0088547080296383,0.0003920357346520742,0.000392035734650964,0.0003920357346520742
Bernoulli(0.1),Common-clock Efficient betting,30000,19,0.008953665793938,1.5508204069092166,0.008953665793938,0.0089676677404928,1.5532456151930003,0.0089676677404928,0.0015638227824272821,0.0015638227824310569,0.0015638227824272821
Bernoulli(0.1),Common-clock Efficient betting,30000,20,0.0090603566314779,1.569299802041341,0.0090603566314779,0.0090781775710783,1.5723864793239914,0.0090781775710783,0.001966913701662243,0.001966913701662021,0.001966913701662243
Bernoulli(0.1),Common-clock Efficient betting,30000,21,0.0089861147780163,1.5564407358169767,0.0089861147780163,0.0089958408113521,1.558125334206352,0.0089958408113521,0.001082340207760657,0.0010823402077630995,0.001082340207760657
Bernoulli(0.1),Common-clock Efficient betting,30000,22,0.0087577394630807,1.516884970950687,0.0087577394630807,0.0087794370139043,1.5206430969933051,0.0087794370139043,0.0024775286950553532,0.00247752869504847,0.0024775286950553532
Bernoulli(0.1),Common-clock Efficient betting,30000,23,0.0088899163306579,1.5397786759735912,0.0088899163306579,0.0088875054916775,1.5393611064133004,0.0088875054916775,-0.0002711880394291599,-0.00027118803942827174,-0.0002711880394291599
Bernoulli(0.1),Common-clock Efficient betting,30000,24,0.009044524684553,1.566557628395678,0.009044524684553,0.0090395777963862,1.5657008022312575,0.0090395777963862,-0.0005469483847225787,-0.000546948384719137,-0.0005469483847225787
Bernoulli(0.1),Common-clock Efficient betting,30000,25,0.009131831794726,1.5816796634638366,0.009131831794726,0.0091674107727177,1.5878421232201407,0.0091674107727177,0.0038961490740825333,0.003896149074085198,0.0038961490740825333
Bernoulli(0.1),Common-clock Efficient betting,30000,26,0.0088435505708374,1.5317478907995288,0.0088435505708374,0.0088462626124836,1.5322176301918609,0.0088462626124836,0.00030666886840036156,0.00030666886839125773,0.00030666886840036156
Bernoulli(0.1),Common-clock Efficient betting,30000,27,0.0088627634988972,1.5350756675556954,0.0088627634988972,0.0088833454630188,1.5386405683135045,0.0088833454630188,0.0023222964399489676,0.0023222964399438606,0.0023222964399489676
Bernoulli(0.1),Common-clock Efficient betting,30000,28,0.0088840942760762,1.5387702665395964,0.0088840942760762,0.0088948116762106,1.540626574695368,0.0088948116762106,0.0012063582174337562,0.0012063582174264287,0.0012063582174337562
Bernoulli(0.1),Common-clock Efficient betting,30000,29,0.0089777954596727,1.5549997876114394,0.0089777954596727,0.0089859849380691,1.5564182468784395,0.0089859849380691,0.0009121925792570096,0.0009121925792536789,0.0009121925792570096
