distribution,n,method,calibration,mean,lo,hi,replications,noncoverage,empty_rate,sample_mean_exclusion_rate,poisson_round_fraction
"Beta(0.5,0.5)",10,PE-betting,Uniformly randomized,1.97345532838738,1.5851294887755274,2.3633741952569123,120,0.03333333333333333,0.0,0.0,0.12833333333333333
"Beta(0.5,0.5)",50,PE-betting,Deterministic,2.0550687724777195,1.8991921891502772,2.226127422123677,120,0.008333333333333333,0.0,0.0,0.3486666666666667
"Beta(0.5,0.5)",50,PE-betting,Uniformly randomized,1.836440771536691,1.6467417947542125,2.0343578751629194,120,0.008333333333333333,0.0,0.0,0.3486666666666667
"Beta(0.5,0.5)",100,PE-betting,Deterministic,1.9808923395661016,1.862980604171753,2.0901641780510545,120,0.0,0.0,0.0,0.42133333333333334
"Beta(0.5,0.5)",100,PE-betting,Uniformly randomized,1.8357985285886873,1.7122375220060349,1.9337354935705662,120,0.0,0.0,0.0,0.42133333333333334
"Beta(0.5,0.5)",500,PE-betting,Deterministic,1.8865717705487142,1.8375849890040539,1.9375480055117702,120,0.008333333333333333,0.0,0.0,0.2246
"Beta(0.5,0.5)",500,PE-betting,Uniformly randomized,1.8322419844116586,1.7895122560133958,1.8692291851657625,120,0.008333333333333333,0.0,0.0,0.2246
"Beta(0.5,0.5)",1000,PE-betting,Deterministic,1.8649434781306529,1.8375461450319304,1.9003506680109752,120,0.008333333333333333,0.0,0.0,0.16769166666666668
"Beta(0.5,0.5)",1000,PE-betting,Uniformly randomized,1.824252088915844,1.7892619544821142,1.8542726287389273,120,0.016666666666666666,0.0,0.0,0.16769166666666668
"Beta(0.5,0.5)",5000,PE-betting,Deterministic,1.8413065907334447,1.8280371175585195,1.8546327602002104,120,0.025,0.0,0.0,0.028361666666666667
"Beta(0.5,0.5)",5000,PE-betting,Uniformly randomized,1.8233317918047767,1.8073335516550908,1.8393594337715957,120,0.025,0.0,0.0,0.028361666666666667
"Beta(0.5,0.5)",10000,PE-betting,Deterministic,1.8347567855380476,1.8239451292902231,1.8478314951062202,120,0.008333333333333333,0.0,0.0,0.019646666666666666
"Beta(0.5,0.5)",10000,PE-betting,Uniformly randomized,1.821829117058466,1.8059717677533627,1.8358470872044563,120,0.008333333333333333,0.0,0.0,0.019646666666666666
"Beta(1,5)",10,PE-betting,Deterministic,1.81280894166568,1.7042760004148014,1.9194874396967965,120,0.0,0.0,0.0,0.2225
"Beta(1,5)",10,PE-betting,Uniformly randomized,1.5811328794348565,1.3327179634733413,1.787923230744093,120,0.0,0.0,0.0,0.2225
"Beta(1,5)",50,PE-betting,Deterministic,1.3190589100544847,1.1837987264171845,1.4426763077696407,120,0.0,0.0,0.0,0.5183333333333333
"Beta(1,5)",50,PE-betting,Uniformly randomized,1.0549818245640505,0.8529466083461061,1.2365260519481691,120,0.008333333333333333,0.0,0.0,0.5183333333333333
"Beta(1,5)",100,PE-betting,Deterministic,1.0770863016756873,0.9930085223168135,1.2016737218946218,120,0.0,0.0,0.0,0.6038333333333333
