distribution,n,repetition,order_index,width,scaled_midpoint
"Beta(1,5)",5000,3,1,0.010322357527911663,0.008380359015013395
"Beta(1,5)",5000,3,2,0.010546296834945679,0.011045916692749649
"Beta(1,5)",5000,3,3,0.010475845076143742,-0.00891466612588277
"Beta(1,5)",5000,3,4,0.01046021282672882,0.0002721285421523618
"Beta(1,5)",5000,3,5,0.010292477905750275,0.008678317477650176
"Beta(1,5)",5000,3,6,0.010278934612870216,-0.00663613505548796
"Beta(1,5)",5000,3,7,0.010182054713368416,-0.0007585594672913921
"Beta(1,5)",5000,4,0,0.010320033878087997,0.007613154919564486
"Beta(1,5)",5000,4,1,0.01030329242348671,0.004324186083346391
"Beta(1,5)",5000,4,2,0.0103547852486372,-0.01012006573694338
"Beta(1,5)",5000,4,3,0.010514779016375542,0.017608016626119813
"Beta(1,5)",5000,4,4,0.010651197284460068,-0.0003554311903788122
"Beta(1,5)",5000,4,5,0.010609244927763939,0.0029295863787913864
"Beta(1,5)",5000,4,6,0.010352923534810543,0.01270887354065857
"Beta(1,5)",5000,4,7,0.010336868464946747,0.0050181602858585805
"Beta(1,5)",5000,5,0,0.00993642769753933,-0.008180602478973556
"Beta(1,5)",5000,5,1,0.010096821002662182,-0.0018731619631912673
"Beta(1,5)",5000,5,2,0.010030926205217838,0.006191044809311121
"Beta(1,5)",5000,5,3,0.01020710077136755,-0.0015182723278393798
"Beta(1,5)",5000,5,4,0.010058386251330376,-0.0016994708492108252
"Beta(1,5)",5000,5,5,0.010176022537052631,-0.00023773253206698224
"Beta(1,5)",5000,5,6,0.010075761936604977,-0.0016307517298028284
"Beta(1,5)",5000,5,7,0.009988116100430489,-0.020496965285069564
"Beta(1,5)",5000,6,0,0.010074365884065628,0.011077060202083723
"Beta(1,5)",5000,6,1,0.009973088279366493,3.7285924712214535e-05
"Beta(1,5)",5000,6,2,0.00990813598036766,0.008004884217893539
"Beta(1,5)",5000,6,3,0.00991684477776289,0.009554143100148285
"Beta(1,5)",5000,6,4,0.009906883351504803,0.00847432767040902
"Beta(1,5)",5000,6,5,0.0099429776892066,0.016650618718170068
"Beta(1,5)",5000,6,6,0.010096699930727482,0.01642954532684027
"Beta(1,5)",5000,6,7,0.010223331861197948,0.004359675730082191
"Beta(1,5)",5000,7,0,0.01009670551866293,0.00171536948981211
"Beta(1,5)",5000,7,1,0.010433078743517399,0.0026003874540900863
"Beta(1,5)",5000,7,2,0.010278590023517609,-0.0025432732071851397
"Beta(1,5)",5000,7,3,0.010006747208535671,0.006119320032495747
"Beta(1,5)",5000,7,4,0.010249223560094833,-0.0015616467635860985
"Beta(1,5)",5000,7,5,0.010241365991532803,-0.010006920315632687
"Beta(1,5)",5000,7,6,0.010413842275738716,-0.0046361276535542215
"Beta(1,5)",5000,7,7,0.010290799662470818,-0.005914099125745487
"Beta(1,5)",5000,8,0,0.010314201936125755,-0.00031555848342300715
"Beta(1,5)",5000,8,1,0.01029977761209011,0.004071533319856272
"Beta(1,5)",5000,8,2,0.009942153468728065,0.008529813784448483
"Beta(1,5)",5000,8,3,0.010388673283159733,0.006480983038438046
"Beta(1,5)",5000,8,4,0.009948039427399635,-0.006468932511562738
"Beta(1,5)",5000,8,5,0.010345983318984509,0.001402748774030903
"Beta(1,5)",5000,8,6,0.01029911544173956,0.0024844739828433176
