distribution,n,repetition,width_range,width_sd,scaled_midpoint_range,scaled_midpoint_sd
"Uniform(0.45,0.55)",1000,5,8.326210081577301e-05,2.546360832166378e-05,0.009727637738696816,0.003425168775629201
"Uniform(0.45,0.55)",1000,6,0.0001220768317580223,4.4728597932677596e-05,0.00888991860646099,0.0028971309651736363
"Uniform(0.45,0.55)",1000,7,0.0002565281465649605,7.374222232623407e-05,0.011602032272317837,0.0044130567237428255
"Uniform(0.45,0.55)",1000,8,0.00026560574769973755,7.810046482714082e-05,0.01610806559866261,0.004963304785867421
"Uniform(0.45,0.55)",1000,9,0.00019615981727838516,5.890560784308569e-05,0.014908275802090712,0.004689741712700677
"Uniform(0.45,0.55)",5000,0,5.4652802646160126e-05,1.822716229498991e-05,0.014237370063107,0.004690344791126125
"Uniform(0.45,0.55)",5000,1,8.11433419585228e-05,2.9678820259721348e-05,0.011946458355962114,0.004066938751371271
"Uniform(0.45,0.55)",5000,2,0.0001004096120595932,2.973024384733827e-05,0.014439642008733891,0.005960544654258833
"Uniform(0.45,0.55)",5000,3,7.458776235580444e-05,2.24110007461081e-05,0.0037508390268917746,0.00119533531363137
"Uniform(0.45,0.55)",5000,4,4.312396049499512e-05,1.292578221632208e-05,0.014751001852108122,0.004765425733386625
"Uniform(0.45,0.55)",5000,5,7.529929280281067e-05,2.714234518271709e-05,0.02109387206241988,0.005925794139269628
"Uniform(0.45,0.55)",5000,6,7.399357855319977e-05,2.3768980042158504e-05,0.0070033574245930265,0.002215348314776808
"Uniform(0.45,0.55)",5000,7,6.625428795814514e-05,2.6957942842753086e-05,0.010494795769790408,0.003640783802382442
"Uniform(0.45,0.55)",5000,8,6.901752203702927e-05,2.919923986690925e-05,0.015107669557631563,0.005619516462005012
"Uniform(0.45,0.55)",5000,9,8.477549999952316e-05,2.564883651948464e-05,0.013967432669284883,0.004374600302158052
