distribution,n,method,calibration,mean,lo,hi,replications,noncoverage,empty_rate,sample_mean_exclusion_rate,poisson_round_fraction
"Uniform(0.45,0.55)",50,PE-betting,Uniformly randomized,1.0531571158314121,0.8578781913340306,1.2388385955253123,120,0.03333333333333333,0.0,0.03333333333333333,0.0
"Uniform(0.45,0.55)",100,PE-betting,Deterministic,0.9976811861464133,0.99629021063447,0.9993136059492826,120,0.0,0.0,0.0,0.0
"Uniform(0.45,0.55)",100,PE-betting,Uniformly randomized,0.8176764882324884,0.662209814414382,0.9488549064844847,120,0.008333333333333333,0.008333333333333333,0.016666666666666666,0.0
"Uniform(0.45,0.55)",500,PE-betting,Deterministic,0.4869286626260526,0.48478831433895936,0.4888323555465732,120,0.0,0.0,0.0,0.0
"Uniform(0.45,0.55)",500,PE-betting,Uniformly randomized,0.39990580860285907,0.2999260763835654,0.4678613663973039,120,0.016666666666666666,0.0,0.008333333333333333,0.0
"Uniform(0.45,0.55)",1000,PE-betting,Deterministic,0.3575642780885039,0.3552797365779574,0.3596515557810297,120,0.0,0.0,0.0,0.0005583333333333333
"Uniform(0.45,0.55)",1000,PE-betting,Uniformly randomized,0.30105114644350356,0.24840442823749506,0.346236861228183,120,0.008333333333333333,0.0,0.008333333333333333,0.0005583333333333333
"Uniform(0.45,0.55)",5000,PE-betting,Deterministic,0.19855279685929872,0.19561057036529456,0.20156306856216435,120,0.0,0.0,0.0,0.0
"Uniform(0.45,0.55)",5000,PE-betting,Uniformly randomized,0.1779010896895124,0.15658025081120341,0.19538185785767215,120,0.025,0.0,0.0,0.0
"Uniform(0.45,0.55)",10000,PE-betting,Deterministic,0.1730035633469621,0.1715052872896194,0.174453817307949,120,0.0,0.0,0.0,0.0
"Uniform(0.45,0.55)",10000,PE-betting,Uniformly randomized,0.16065474289158976,0.14269868843257427,0.17239586450159547,120,0.016666666666666666,0.0,0.0,0.0
