distribution,n,rep,method,calibration,lower,upper,width,sqrt_n_width,empty,noncoverage,sample_mean_excluded,poisson_round_fraction,evaluations,solvency_c,third_moment_shrinkage,skewness_epsilon
"Beta(2,2)",10,44,PE-betting,Deterministic,0.2749570193700492,0.9184365845285356,0.6434795651584864,2.0348610536755447,False,False,False,0.3,61,0.5,10.0,0.05
"Beta(2,2)",10,44,PE-betting,Uniformly randomized,0.3030377910472452,0.8777715335600078,0.5747337425127625,1.817467674493075,False,False,False,0.3,61,0.5,10.0,0.05
"Beta(2,2)",10,45,PE-betting,Deterministic,0.1694081597961485,0.7795886588282883,0.6101804990321398,1.9295601607597288,False,False,False,0.0,61,0.5,10.0,0.05
"Beta(2,2)",10,45,PE-betting,Uniformly randomized,0.192467616405338,0.7221664278768003,0.5296988114714622,1.6750547181339472,False,False,False,0.0,61,0.5,10.0,0.05
"Beta(2,2)",10,46,PE-betting,Deterministic,0.0822384594939649,0.7922863918356597,0.7100479323416948,2.24536871409289,False,False,False,0.1,61,0.5,10.0,0.05
"Beta(2,2)",10,46,PE-betting,Uniformly randomized,0.2138694743625819,0.7663867496885359,0.552517275325954,1.747213036620366,False,False,False,0.1,61,0.5,10.0,0.05
"Beta(2,2)",10,47,PE-betting,Deterministic,0.0835994952358305,0.8148226696066558,0.7312231743708253,2.3123307089102685,False,False,False,0.1,61,0.5,10.0,0.05
"Beta(2,2)",10,47,PE-betting,Uniformly randomized,0.1581095797009766,0.5948620918206871,0.4367525121197104,1.3811327120985797,False,False,False,0.1,61,0.5,10.0,0.05
"Beta(2,2)",10,48,PE-betting,Deterministic,0.1916672405786812,0.7944981581531465,0.6028309175744653,1.9063187435045368,False,False,False,0.0,61,0.5,10.0,0.05
"Beta(2,2)",10,48,PE-betting,Uniformly randomized,0.2095666280947625,0.7897193082608283,0.5801526801660657,1.8346038599759604,False,False,False,0.0,61,0.5,10.0,0.05
"Beta(2,2)",10,49,PE-betting,Deterministic,0.2005512579344213,0.8555996767245233,0.655048418790102,2.0714449810685607,False,False,False,0.1,61,0.5,10.0,0.05
"Beta(2,2)",10,49,PE-betting,Uniformly randomized,0.230774259660393,0.7981058233417571,0.5673315636813641,1.794059929737972,False,False,False,0.1,61,0.5,10.0,0.05
"Beta(2,2)",10,50,PE-betting,Deterministic,0.08916248800233,0.7917523817159235,0.7025898937135935,2.2217843251505727,False,False,False,0.0,61,0.5,10.0,0.05
"Beta(2,2)",10,50,PE-betting,Uniformly randomized,0.1624203217215836,0.7788899843581021,0.6164696626365185,1.949448242327,False,False,False,0.0,61,0.5,10.0,0.05
"Beta(2,2)",10,51,PE-betting,Deterministic,0.2086036070249974,0.8205618686042726,0.6119582615792751,1.9351819395476195,False,False,False,0.0,61,0.5,10.0,0.05
"Beta(2,2)",10,51,PE-betting,Uniformly randomized,0.2948248912580311,0.8093543373979628,0.5145294461399317,1.6270849730271153,False,False,False,0.0,61,0.5,10.0,0.05
"Beta(2,2)",10,52,PE-betting,Deterministic,0.0836950824595987,0.7789080017246306,0.6952129192650318,2.198456283652253,False,False,False,0.0,61,0.5,10.0,0.05
"Beta(2,2)",10,52,PE-betting,Uniformly randomized,0.1382411415688693,0.7345700855366886,0.5963289439678192,1.885757697621236,False,False,False,0.0,61,0.5,10.0,0.05
"Beta(2,2)",10,53,PE-betting,Deterministic,0.1607810701243579,0.801783190574497,0.641002120450139,2.027026685620036,False,False,False,0.1,61,0.5,10.0,0.05
"Beta(2,2)",10,53,PE-betting,Uniformly randomized,0.164695733692497,0.5777900503017008,0.4130943166092038,1.3063189289558088,False,False,False,0.1,61,0.5,10.0,0.05
"Beta(2,2)",10,54,PE-betting,Deterministic,0.18603495368734,0.7974966219626367,0.6114616682752967,1.9336115736362591,False,False,False,0.4,61,0.5,10.0,0.05
"Beta(2,2)",10,54,PE-betting,Uniformly randomized,0.2059635589830577,0.7932777893729508,0.587314230389893,1.8572506702609437,False,False,False,0.4,61,0.5,10.0,0.05
"Beta(2,2)",10,55,PE-betting,Deterministic,0.1776480530388653,0.8991483463905752,0.7215002933517098,2.2815842594710443,False,False,False,0.0,61,0.5,10.0,0.05
"Beta(2,2)",10,55,PE-betting,Uniformly randomized,0.1784241185523569,0.7745782039128244,0.5961540853604674,1.8852047461535195,False,False,False,0.0,61,0.5,10.0,0.05
"Beta(2,2)",10,56,PE-betting,Deterministic,0.0325311026535928,0.7708721212111413,0.7383410185575485,2.3348393085705026,False,False,False,0.2,61,0.5,10.0,0.05
"Beta(2,2)",10,56,PE-betting,Uniformly randomized,0.1533049666322767,0.7175336652435362,0.5642286986112595,1.7842478088442637,False,False,False,0.2,61,0.5,10.0,0.05
"Beta(2,2)",10,57,PE-betting,Deterministic,0.1895336718298494,0.8387706191278994,0.6492369472980499,2.053067494596539,False,False,False,0.0,61,0.5,10.0,0.05
"Beta(2,2)",10,57,PE-betting,Uniformly randomized,0.19255963107571,0.7890305803157389,0.5964709492400289,1.8862067577211707,False,False,False,0.0,61,0.5,10.0,0.05
"Beta(2,2)",10,58,PE-betting,Deterministic,0.2059507775120437,0.8225518516264856,0.6166010741144419,1.9498638019079269,False,False,False,0.0,61,0.5,10.0,0.05
"Beta(2,2)",10,58,PE-betting,Uniformly randomized,0.2112561403773725,0.8164809425361454,0.605224802158773,1.913888871246515,False,False,False,0.0,61,0.5,10.0,0.05
"Beta(2,2)",10,59,PE-betting,Deterministic,0.2212733230553567,0.8357646497897804,0.6144913267344236,1.9431921948994964,False,False,False,0.0,61,0.5,10.0,0.05
