distribution,n,sampling_fraction,method,normalized_mean_width,normalized_standard_error,num_simulations
"Beta(1,5)",2000,0.2,aGRAPA,1.639962026078328,0.00873517442408778,40
"Beta(1,5)",5000,0.5,aGRAPA,1.7185834077179698,0.008746402109104776,40
"Beta(1,5)",10000,1.0,aGRAPA,1.7834920055277756,0.008196855552510304,40
"Beta(1,5)",10,0.001,PRECiSE-A-CO96,3.6410910548622626,0.03787829686558504,40
"Beta(1,5)",20,0.002,PRECiSE-A-CO96,3.9529297127185368,0.03488604052346955,40
"Beta(1,5)",40,0.004,PRECiSE-A-CO96,3.218845952629907,0.03304665147587607,40
"Beta(1,5)",75,0.0075,PRECiSE-A-CO96,2.7900414443851083,0.027446687638641734,40
"Beta(1,5)",125,0.0125,PRECiSE-A-CO96,2.5533146938712816,0.02114041936279862,40
"Beta(1,5)",200,0.02,PRECiSE-A-CO96,2.4180665595531967,0.016532745684805908,40
"Beta(1,5)",350,0.035,PRECiSE-A-CO96,2.3200308128439815,0.012338618028866962,40
"Beta(1,5)",500,0.05,PRECiSE-A-CO96,2.2723076221726366,0.010863564130773731,40
"Beta(1,5)",1000,0.1,PRECiSE-A-CO96,2.209365536858622,0.008645042205763162,40
"Beta(1,5)",2000,0.2,PRECiSE-A-CO96,2.1755101201415745,0.006970651695828366,40
"Beta(1,5)",5000,0.5,PRECiSE-A-CO96,2.152981876240502,0.004367361889260538,40
"Beta(1,5)",10000,1.0,PRECiSE-A-CO96,2.163114854274684,0.0031497123455248156,40
"Beta(1,5)",10,0.001,Hedged-CS,3.133522161211221,0.018090665961347403,40
"Beta(1,5)",20,0.002,Hedged-CS,2.798258820961443,0.018944658998340233,40
"Beta(1,5)",40,0.004,Hedged-CS,2.3599480046238823,0.017837610739051744,40
"Beta(1,5)",75,0.0075,Hedged-CS,2.0166030319416572,0.01882454672940031,40
"Beta(1,5)",125,0.0125,Hedged-CS,1.7677073732202815,0.02163271616142964,40
"Beta(1,5)",200,0.02,Hedged-CS,1.625148435128913,0.02253563382624663,40
"Beta(1,5)",350,0.035,Hedged-CS,1.55544462398347,0.02218674164242512,40
"Beta(1,5)",500,0.05,Hedged-CS,1.5492864507058806,0.022098230797450585,40
"Beta(1,5)",1000,0.1,Hedged-CS,1.5739214991247819,0.02277122097248903,40
"Beta(1,5)",2000,0.2,Hedged-CS,1.623337118089846,0.023279806516967188,40
"Beta(1,5)",5000,0.5,Hedged-CS,1.7357100686360305,0.026926686314025436,40
"Beta(1,5)",10000,1.0,Hedged-CS,1.8412922948707275,0.025534277187084693,40
Bernoulli(0.5),10,0.001,Stitched GE,1.4602567267308058,0.023538215770161686,40
Bernoulli(0.5),20,0.002,Stitched GE,1.5169379710074093,0.01357072900923077,40
Bernoulli(0.5),40,0.004,Stitched GE,1.4882826456581197,0.010664285425420438,40
Bernoulli(0.5),75,0.0075,Stitched GE,1.5263255691917794,0.014249191701933311,40
Bernoulli(0.5),125,0.0125,Stitched GE,1.5364977012242143,0.017850362388983517,40
Bernoulli(0.5),200,0.02,Stitched GE,1.477309656232025,0.01899077378191609,40
Bernoulli(0.5),350,0.035,Stitched GE,1.5257025167672935,0.018425796186575263,40
Bernoulli(0.5),500,0.05,Stitched GE,1.497802658808774,0.024053292578165342,40
Bernoulli(0.5),1000,0.1,Stitched GE,1.5287164171472347,0.02198611689349962,40
Bernoulli(0.5),2000,0.2,Stitched GE,1.4943157747555973,0.024457772455003128,40
Bernoulli(0.5),5000,0.5,Stitched GE,1.5400787671480585,0.030374032948432106,40
Bernoulli(0.5),10000,1.0,Stitched GE,1.4671283107741966,0.02964592753929628,40
Bernoulli(0.5),10,0.001,aGRAPA,1.302338337102407,0.01839250079115577,40
Bernoulli(0.5),20,0.002,aGRAPA,1.3106454458680106,0.010211769946228704,40
Bernoulli(0.5),40,0.004,aGRAPA,1.4061031578786234,0.003323919663220288,40
Bernoulli(0.5),75,0.0075,aGRAPA,1.4990035738169578,0.005035388828648616,40
Bernoulli(0.5),125,0.0125,aGRAPA,1.5723308247560777,0.007260520542448368,40
Bernoulli(0.5),200,0.02,aGRAPA,1.63941606751894,0.009673443720206319,40
Bernoulli(0.5),350,0.035,aGRAPA,1.722516788040337,0.009870648306922573,40
Bernoulli(0.5),500,0.05,aGRAPA,1.7631414365153948,0.00989368465708398,40
Bernoulli(0.5),1000,0.1,aGRAPA,1.83677743218852,0.009938793898575965,40
Bernoulli(0.5),2000,0.2,aGRAPA,1.9027649415052046,0.009626632770871581,40
Bernoulli(0.5),5000,0.5,aGRAPA,1.9774900863214668,0.009129856849769266,40
Bernoulli(0.5),10000,1.0,aGRAPA,2.028508065259439,0.008754348762768744,40
Bernoulli(0.5),10,0.001,PRECiSE-A-CO96,1.2211610329295888,0.010881354704304586,40
Bernoulli(0.5),20,0.002,PRECiSE-A-CO96,1.4075519268627716,0.010516515721819662,40
Bernoulli(0.5),40,0.004,PRECiSE-A-CO96,1.554576540359847,0.0040897443324070274,40
Bernoulli(0.5),75,0.0075,PRECiSE-A-CO96,1.6535759519603475,0.002182077025743595,40
Bernoulli(0.5),125,0.0125,PRECiSE-A-CO96,1.7144804804062879,0.0014722460015855728,40
Bernoulli(0.5),200,0.02,PRECiSE-A-CO96,1.7656346319370855,0.0011781952674110826,40
Bernoulli(0.5),350,0.035,PRECiSE-A-CO96,1.819613618101092,0.0006630236496517327,40
Bernoulli(0.5),500,0.05,PRECiSE-A-CO96,1.8500032381914562,0.00041359934800644127,40
Bernoulli(0.5),1000,0.1,PRECiSE-A-CO96,1.903716293593766,0.00031681661167560463,40
Bernoulli(0.5),2000,0.2,PRECiSE-A-CO96,1.954352365396673,0.00019433506595140535,40
Bernoulli(0.5),5000,0.5,PRECiSE-A-CO96,2.0167394280921633,6.925606886311461e-05,40
Bernoulli(0.5),10000,1.0,PRECiSE-A-CO96,2.0618938637250355,1.5044874085506032e-05,40
Bernoulli(0.5),10,0.001,Hedged-CS,1.2285875674527642,0.014709965772512087,40
Bernoulli(0.5),20,0.002,Hedged-CS,1.3253076180488883,0.011829366920977679,40
Bernoulli(0.5),40,0.004,Hedged-CS,1.406569937047961,0.009925479326669649,40
Bernoulli(0.5),75,0.0075,Hedged-CS,1.4857835889187652,0.01150498304965736,40
Bernoulli(0.5),125,0.0125,Hedged-CS,1.5595696561669654,0.0156749418344175,40
Bernoulli(0.5),200,0.02,Hedged-CS,1.6135849742671577,0.0195666726053723,40
Bernoulli(0.5),350,0.035,Hedged-CS,1.7289241688488701,0.023927456112483297,40
Bernoulli(0.5),500,0.05,Hedged-CS,1.783114595741111,0.029094212538450865,40
Bernoulli(0.5),1000,0.1,Hedged-CS,1.9173810525874682,0.039496143505384086,40
Bernoulli(0.5),2000,0.2,Hedged-CS,2.046875111598591,0.054536811074931156,40
Bernoulli(0.5),5000,0.5,Hedged-CS,2.2473367395813875,0.0648161789137605,40
Bernoulli(0.5),10000,1.0,Hedged-CS,2.401142426420864,0.07024047150801985,40
"Beta(50,50)",10,0.001,Stitched GE,7.250419098575776,0.005107077572810209,40
"Beta(50,50)",20,0.002,Stitched GE,5.632715185492291,0.007040833205750066,40
"Beta(50,50)",40,0.004,Stitched GE,4.2414190983982305,0.00774803270112792,40
"Beta(50,50)",75,0.0075,Stitched GE,3.3095333778595872,0.0076702122922170475,40
"Beta(50,50)",125,0.0125,Stitched GE,2.7257423011122413,0.006472273282911573,40
"Beta(50,50)",200,0.02,Stitched GE,2.326113892921004,0.007278136216229142,40
"Beta(50,50)",350,0.035,Stitched GE,1.99636429854649,0.007691583266356278,40
"Beta(50,50)",500,0.05,Stitched GE,1.8510466551939075,0.008730544962901269,40
"Beta(50,50)",1000,0.1,Stitched GE,1.6814510379574803,0.008214573183395333,40
"Beta(50,50)",2000,0.2,Stitched GE,1.6203177482766526,0.006597213231073476,40
"Beta(50,50)",5000,0.5,Stitched GE,1.615310166006528,0.012435962056817565,40
