distribution,true_mean,true_variance,replication,n,sampling_fraction,method,lower,upper,width,normalized_width
"Uniform(0,1)",0.5,0.08333333333333333,2,20,0.002,Hedged-CS,0.24154669046401978,0.6309034824371338,0.389356791973114,1.5387755927550815
"Uniform(0,1)",0.5,0.08333333333333333,2,40,0.004,Hedged-CS,0.3418101668357849,0.6163939237594604,0.27458375692367554,1.5346783795816117
"Uniform(0,1)",0.5,0.08333333333333333,2,75,0.0075,Hedged-CS,0.3847607970237732,0.5927993655204773,0.2080385684967041,1.592161158095397
"Uniform(0,1)",0.5,0.08333333333333333,2,125,0.0125,Hedged-CS,0.42033934593200684,0.5789735913276672,0.1586342453956604,1.5673445925582967
"Uniform(0,1)",0.5,0.08333333333333333,2,200,0.02,Hedged-CS,0.4414750933647156,0.5733343958854675,0.13185930252075195,1.6479282862481872
"Uniform(0,1)",0.5,0.08333333333333333,2,350,0.035,Hedged-CS,0.45896589756011963,0.5617140531539917,0.10274815559387207,1.6987152797091152
"Uniform(0,1)",0.5,0.08333333333333333,2,500,0.05,Hedged-CS,0.4611603617668152,0.5452132225036621,0.08405286073684692,1.6609250598617147
"Uniform(0,1)",0.5,0.08333333333333333,2,1000,0.1,Hedged-CS,0.4690932035446167,0.5344354510307312,0.0653422474861145,1.8260245182326078
"Uniform(0,1)",0.5,0.08333333333333333,2,2000,0.2,Hedged-CS,0.474928617477417,0.5242419242858887,0.04931330680847168,1.9489094444809127
"Uniform(0,1)",0.5,0.08333333333333333,2,5000,0.5,Hedged-CS,0.48312222957611084,0.5165546536445618,0.03343242406845093,2.089129710494801
"Uniform(0,1)",0.5,0.08333333333333333,2,10000,1.0,Hedged-CS,0.48876333236694336,0.5138850212097168,0.025121688842773438,2.220042908483892
"Uniform(0,1)",0.5,0.08333333333333333,3,10,0.001,Stitched GE,0.2723175287246704,0.8133733868598938,0.5410558581352234,1.5120099180828632
"Uniform(0,1)",0.5,0.08333333333333333,3,20,0.002,Stitched GE,0.3911566734313965,0.7750516533851624,0.38389497995376587,1.5171899848991137
"Uniform(0,1)",0.5,0.08333333333333333,3,40,0.004,Stitched GE,0.4566437005996704,0.7152822017669678,0.25863850116729736,1.4455586168528394
"Uniform(0,1)",0.5,0.08333333333333333,3,75,0.0075,Stitched GE,0.45460063219070435,0.6265499591827393,0.1719493269920349,1.3159629081071076
"Uniform(0,1)",0.5,0.08333333333333333,3,125,0.0125,Stitched GE,0.4550182819366455,0.6024922728538513,0.1474739909172058,1.457078587480059
"Uniform(0,1)",0.5,0.08333333333333333,3,200,0.02,Stitched GE,0.45682668685913086,0.5786174535751343,0.12179076671600342,1.5220954884360156
"Uniform(0,1)",0.5,0.08333333333333333,3,350,0.035,Stitched GE,0.4559941291809082,0.5470831394195557,0.09108901023864746,1.5059568963707888
"Uniform(0,1)",0.5,0.08333333333333333,3,500,0.05,Stitched GE,0.4612140655517578,0.5421245098114014,0.08091044425964355,1.5988293949461552
"Uniform(0,1)",0.5,0.08333333333333333,3,1000,0.1,Stitched GE,0.47601932287216187,0.5289689302444458,0.052949607372283936,1.4797054740599023
"Uniform(0,1)",0.5,0.08333333333333333,3,2000,0.2,Stitched GE,0.4780225157737732,0.5186111330986023,0.0405886173248291,1.604101301703653
"Uniform(0,1)",0.5,0.08333333333333333,3,5000,0.5,Stitched GE,0.48975181579589844,0.5159885287284851,0.02623671293258667,1.639483167028686
"Uniform(0,1)",0.5,0.08333333333333333,3,10000,1.0,Stitched GE,0.49426817893981934,0.5124464631080627,0.018178284168243408,1.6064433847855273
"Uniform(0,1)",0.5,0.08333333333333333,3,10,0.001,aGRAPA,0.29667378479751416,0.7795212307175872,0.482847445920073,1.3493433555425371
"Uniform(0,1)",0.5,0.08333333333333333,3,20,0.002,aGRAPA,0.4134198050067354,0.7393632066833327,0.32594340167659724,1.2881597585028053
