distribution,replication,n,component_count,topology_uncertain
"Beta(0.5,0.5)",6,5000,1,0
"Beta(0.5,0.5)",6,10000,1,0
"Beta(0.5,0.5)",7,10,1,0
"Beta(0.5,0.5)",7,20,1,0
"Beta(0.5,0.5)",7,40,1,0
"Beta(0.5,0.5)",7,75,1,0
"Beta(0.5,0.5)",7,125,1,0
"Beta(0.5,0.5)",7,200,1,0
"Beta(0.5,0.5)",7,350,1,0
"Beta(0.5,0.5)",7,500,1,0
"Beta(0.5,0.5)",7,1000,1,0
"Beta(0.5,0.5)",7,2000,1,0
"Beta(0.5,0.5)",7,5000,1,0
"Beta(0.5,0.5)",7,10000,1,0
"Beta(0.5,0.5)",8,10,1,0
"Beta(0.5,0.5)",8,20,1,0
"Beta(0.5,0.5)",8,40,1,0
"Beta(0.5,0.5)",8,75,1,0
"Beta(0.5,0.5)",8,125,1,0
"Beta(0.5,0.5)",8,200,1,0
"Beta(0.5,0.5)",8,350,1,0
"Beta(0.5,0.5)",8,500,1,0
"Beta(0.5,0.5)",8,1000,1,0
"Beta(0.5,0.5)",8,2000,1,0
"Beta(0.5,0.5)",8,5000,1,0
"Beta(0.5,0.5)",8,10000,1,0
"Beta(0.5,0.5)",9,10,1,0
"Beta(0.5,0.5)",9,20,1,0
"Beta(0.5,0.5)",9,40,1,0
"Beta(0.5,0.5)",9,75,1,0
"Beta(0.5,0.5)",9,125,1,0
"Beta(0.5,0.5)",9,200,1,0
"Beta(0.5,0.5)",9,350,1,0
"Beta(0.5,0.5)",9,500,1,0
"Beta(0.5,0.5)",9,1000,1,0
"Beta(0.5,0.5)",9,2000,1,0
"Beta(0.5,0.5)",9,5000,1,0
"Beta(0.5,0.5)",9,10000,1,0
"Beta(0.5,0.5)",10,10,1,0
"Beta(0.5,0.5)",10,20,1,0
"Beta(0.5,0.5)",10,40,1,0
"Beta(0.5,0.5)",10,75,1,0
"Beta(0.5,0.5)",10,125,1,0
"Beta(0.5,0.5)",10,200,1,0
"Beta(0.5,0.5)",10,350,1,0
"Beta(0.5,0.5)",10,500,1,0
"Beta(0.5,0.5)",10,1000,1,0
"Beta(0.5,0.5)",10,2000,1,0
"Beta(0.5,0.5)",10,5000,1,0
"Beta(0.5,0.5)",10,10000,1,0
"Beta(0.5,0.5)",11,10,1,0
"Beta(0.5,0.5)",11,20,1,0
"Beta(0.5,0.5)",11,40,1,0
"Beta(0.5,0.5)",11,75,1,0
"Beta(0.5,0.5)",11,125,1,0
"Beta(0.5,0.5)",11,200,1,0
"Beta(0.5,0.5)",11,350,1,0
"Beta(0.5,0.5)",11,500,1,0
"Beta(0.5,0.5)",11,1000,1,0
"Beta(0.5,0.5)",11,2000,1,0
"Beta(0.5,0.5)",11,5000,1,0
"Beta(0.5,0.5)",11,10000,1,0
"Beta(0.5,0.5)",12,10,1,0
"Beta(0.5,0.5)",12,20,1,0
"Beta(0.5,0.5)",12,40,1,0
"Beta(0.5,0.5)",12,75,1,0
"Beta(0.5,0.5)",12,125,1,0
"Beta(0.5,0.5)",12,200,1,0
"Beta(0.5,0.5)",12,350,1,0
"Beta(0.5,0.5)",12,500,1,0
"Beta(0.5,0.5)",12,1000,1,0
"Beta(0.5,0.5)",12,2000,1,0
"Beta(0.5,0.5)",12,5000,1,0
"Beta(0.5,0.5)",12,10000,1,0
"Beta(0.5,0.5)",13,10,1,0
"Beta(0.5,0.5)",13,20,1,0
"Beta(0.5,0.5)",13,40,1,0
"Beta(0.5,0.5)",13,75,1,0
"Beta(0.5,0.5)",13,125,1,0
"Beta(0.5,0.5)",13,200,1,0
"Beta(0.5,0.5)",13,350,1,0
"Beta(0.5,0.5)",13,500,1,0
"Beta(0.5,0.5)",13,1000,1,0
"Beta(0.5,0.5)",13,2000,1,0
"Beta(0.5,0.5)",13,5000,1,0
"Beta(0.5,0.5)",13,10000,1,0
"Beta(0.5,0.5)",14,10,1,0
"Beta(0.5,0.5)",14,20,1,0
"Beta(0.5,0.5)",14,40,1,0
"Beta(0.5,0.5)",14,75,1,0
"Beta(0.5,0.5)",14,125,1,0
"Beta(0.5,0.5)",14,200,1,0
"Beta(0.5,0.5)",14,350,1,0
"Beta(0.5,0.5)",14,500,1,0
"Beta(0.5,0.5)",14,1000,1,0
"Beta(0.5,0.5)",14,2000,1,0
"Beta(0.5,0.5)",14,5000,1,0
"Beta(0.5,0.5)",14,10000,1,0
"Beta(0.5,0.5)",15,10,1,0
"Beta(0.5,0.5)",15,20,1,0
"Beta(0.5,0.5)",15,40,1,0
"Beta(0.5,0.5)",15,75,1,0
"Beta(0.5,0.5)",15,125,1,0
"Beta(0.5,0.5)",15,200,1,0
"Beta(0.5,0.5)",15,350,1,0
"Beta(0.5,0.5)",15,500,1,0
"Beta(0.5,0.5)",15,1000,1,0
"Beta(0.5,0.5)",15,2000,1,0
"Beta(0.5,0.5)",15,5000,1,0
"Beta(0.5,0.5)",15,10000,1,0
"Beta(0.5,0.5)",16,10,1,0
"Beta(0.5,0.5)",16,20,1,0
"Beta(0.5,0.5)",16,40,1,0
"Beta(0.5,0.5)",16,75,1,0
"Beta(0.5,0.5)",16,125,1,0
"Beta(0.5,0.5)",16,200,1,0
"Beta(0.5,0.5)",16,350,1,0
"Beta(0.5,0.5)",16,500,1,0
"Beta(0.5,0.5)",16,1000,1,0
"Beta(0.5,0.5)",16,2000,1,0
"Beta(0.5,0.5)",16,5000,1,0
"Beta(0.5,0.5)",16,10000,1,0
"Beta(0.5,0.5)",17,10,1,0
"Beta(0.5,0.5)",17,20,1,0
