distribution,replication,method,simultaneously_covered
Bernoulli(0.1),39,PRECiSE-A-CO96,1
Bernoulli(0.1),39,Hedged-CS,1
"Beta(2,2)",0,Stitched GE,1
"Beta(2,2)",0,aGRAPA,1
"Beta(2,2)",0,PRECiSE-A-CO96,1
"Beta(2,2)",0,Hedged-CS,1
"Beta(2,2)",1,Stitched GE,1
"Beta(2,2)",1,aGRAPA,1
"Beta(2,2)",1,PRECiSE-A-CO96,1
"Beta(2,2)",1,Hedged-CS,1
"Beta(2,2)",2,Stitched GE,1
"Beta(2,2)",2,aGRAPA,1
"Beta(2,2)",2,PRECiSE-A-CO96,1
"Beta(2,2)",2,Hedged-CS,1
"Beta(2,2)",3,Stitched GE,1
"Beta(2,2)",3,aGRAPA,1
"Beta(2,2)",3,PRECiSE-A-CO96,1
"Beta(2,2)",3,Hedged-CS,1
"Beta(2,2)",4,Stitched GE,1
"Beta(2,2)",4,aGRAPA,1
"Beta(2,2)",4,PRECiSE-A-CO96,1
"Beta(2,2)",4,Hedged-CS,1
"Beta(2,2)",5,Stitched GE,1
"Beta(2,2)",5,aGRAPA,1
"Beta(2,2)",5,PRECiSE-A-CO96,1
"Beta(2,2)",5,Hedged-CS,1
"Beta(2,2)",6,Stitched GE,1
"Beta(2,2)",6,aGRAPA,1
"Beta(2,2)",6,PRECiSE-A-CO96,1
"Beta(2,2)",6,Hedged-CS,1
"Beta(2,2)",7,Stitched GE,0
"Beta(2,2)",7,aGRAPA,1
"Beta(2,2)",7,PRECiSE-A-CO96,1
"Beta(2,2)",7,Hedged-CS,1
"Beta(2,2)",8,Stitched GE,1
"Beta(2,2)",8,aGRAPA,1
"Beta(2,2)",8,PRECiSE-A-CO96,1
"Beta(2,2)",8,Hedged-CS,1
"Beta(2,2)",9,Stitched GE,1
"Beta(2,2)",9,aGRAPA,1
"Beta(2,2)",9,PRECiSE-A-CO96,1
"Beta(2,2)",9,Hedged-CS,1
"Beta(2,2)",10,Stitched GE,1
"Beta(2,2)",10,aGRAPA,1
"Beta(2,2)",10,PRECiSE-A-CO96,1
"Beta(2,2)",10,Hedged-CS,1
"Beta(2,2)",11,Stitched GE,0
"Beta(2,2)",11,aGRAPA,0
"Beta(2,2)",11,PRECiSE-A-CO96,1
"Beta(2,2)",11,Hedged-CS,0
"Beta(2,2)",12,Stitched GE,1
"Beta(2,2)",12,aGRAPA,1
"Beta(2,2)",12,PRECiSE-A-CO96,1
"Beta(2,2)",12,Hedged-CS,1
"Beta(2,2)",13,Stitched GE,1
"Beta(2,2)",13,aGRAPA,1
"Beta(2,2)",13,PRECiSE-A-CO96,1
"Beta(2,2)",13,Hedged-CS,1
"Beta(2,2)",14,Stitched GE,1
"Beta(2,2)",14,aGRAPA,1
"Beta(2,2)",14,PRECiSE-A-CO96,1
"Beta(2,2)",14,Hedged-CS,1
"Beta(2,2)",15,Stitched GE,1
"Beta(2,2)",15,aGRAPA,1
"Beta(2,2)",15,PRECiSE-A-CO96,1
"Beta(2,2)",15,Hedged-CS,1
"Beta(2,2)",16,Stitched GE,1
"Beta(2,2)",16,aGRAPA,1
"Beta(2,2)",16,PRECiSE-A-CO96,1
"Beta(2,2)",16,Hedged-CS,1
"Beta(2,2)",17,Stitched GE,1
"Beta(2,2)",17,aGRAPA,1
"Beta(2,2)",17,PRECiSE-A-CO96,1
"Beta(2,2)",17,Hedged-CS,1
"Beta(2,2)",18,Stitched GE,1
"Beta(2,2)",18,aGRAPA,1
"Beta(2,2)",18,PRECiSE-A-CO96,1
"Beta(2,2)",18,Hedged-CS,1
"Beta(2,2)",19,Stitched GE,1
"Beta(2,2)",19,aGRAPA,1
"Beta(2,2)",19,PRECiSE-A-CO96,1
"Beta(2,2)",19,Hedged-CS,1
"Beta(2,2)",20,Stitched GE,1
"Beta(2,2)",20,aGRAPA,1
"Beta(2,2)",20,PRECiSE-A-CO96,1
"Beta(2,2)",20,Hedged-CS,1
"Beta(2,2)",21,Stitched GE,1
"Beta(2,2)",21,aGRAPA,1
"Beta(2,2)",21,PRECiSE-A-CO96,1
"Beta(2,2)",21,Hedged-CS,1
