distribution,n,rep,method,calibration,width_c1,width_c05,difference_c05_minus_c1,relative_change,c05_narrower,c05_wider
"Beta(2,2)",10,12,Efficient betting,Deterministic,0.5858580302447081,0.6419250488281252,0.056067018583417116,0.09570069144567062,False,True
"Beta(2,2)",10,12,Efficient betting,Uniformly randomized,0.39963648332430274,0.486322021484375,0.08668553816007224,0.2169109722891025,False,True
"Beta(2,2)",10,13,STaR betting,Deterministic,0.492132568359375,0.6072753906249999,0.11514282226562489,0.233967084620059,False,True
"Beta(2,2)",10,13,STaR betting,Uniformly randomized,0.402490234375,0.5211364746093748,0.11864624023437487,0.2947804197500907,False,True
"Beta(2,2)",10,13,Efficient betting,Deterministic,0.5833945963531733,0.6572631835937499,0.07386858724057666,0.12661856606545996,False,True
"Beta(2,2)",10,13,Efficient betting,Uniformly randomized,0.43089901742932907,0.5246215820312499,0.0937225646019208,0.21750470716098125,False,True
"Beta(2,2)",10,14,STaR betting,Deterministic,0.538113192494577,0.6264188565570769,0.08830566406249984,0.16410239573041085,False,True
"Beta(2,2)",10,14,STaR betting,Uniformly randomized,0.5012158868972469,0.6018610698794988,0.10064518298225189,0.2008020607752301,False,True
"Beta(2,2)",10,14,Efficient betting,Deterministic,0.5993155678734183,0.6896049993941852,0.09028943152076685,0.1506542402046145,False,True
"Beta(2,2)",10,14,Efficient betting,Uniformly randomized,0.5402893136985979,0.6297359015614022,0.08944658786280435,0.16555313161848395,False,True
"Beta(2,2)",10,15,STaR betting,Deterministic,0.5689814213984103,0.6603510503046603,0.09136962890625,0.16058455596263044,False,True
"Beta(2,2)",10,15,STaR betting,Uniformly randomized,0.4745540113380358,0.5761012069183225,0.10154719558028663,0.21398448470379106,False,True
"Beta(2,2)",10,15,Efficient betting,Deterministic,0.6386485928669572,0.73025152640088,0.09160293353392279,0.14343245183193476,False,True
"Beta(2,2)",10,15,Efficient betting,Uniformly randomized,0.49355082744213186,0.5891032935262978,0.0955524660841659,0.19360207859315004,False,True
"Beta(2,2)",10,16,STaR betting,Deterministic,0.5572448730468751,0.632611083984375,0.07536621093749996,0.13524792166398303,False,True
"Beta(2,2)",10,16,STaR betting,Uniformly randomized,0.416375732421875,0.50093994140625,0.084564208984375,0.20309591169615504,False,True
"Beta(2,2)",10,16,Efficient betting,Deterministic,0.6437823828309774,0.70311279296875,0.059330410137772516,0.09215910798439708,False,True
"Beta(2,2)",10,16,Efficient betting,Uniformly randomized,0.4503150754931334,0.510858154296875,0.0605430788037416,0.13444604033618401,False,True
"Beta(2,2)",10,17,STaR betting,Deterministic,0.5941955566406252,0.64354248046875,0.04934692382812478,0.0830482881883452,False,True
"Beta(2,2)",10,17,STaR betting,Uniformly randomized,0.5470703125,0.618927001953125,0.07185668945312496,0.13134817922170638,False,True
"Beta(2,2)",10,17,Efficient betting,Deterministic,0.7022527968510985,0.7064453125000001,0.004192515648901551,0.005970094626466027,False,True
"Beta(2,2)",10,17,Efficient betting,Uniformly randomized,0.6057720386800894,0.6327575683593751,0.02698552967928569,0.0445473345684364,False,True
"Beta(2,2)",10,18,STaR betting,Deterministic,0.5780517578125002,0.640472412109375,0.06242065429687482,0.10798454196055207,False,True
"Beta(2,2)",10,18,STaR betting,Uniformly randomized,0.4226684570312502,0.4356567382812501,0.0129882812499999,0.03072924187725601,False,True
"Beta(2,2)",10,18,Efficient betting,Deterministic,0.6637949934229255,0.71947021484375,0.05567522142082448,0.08387412073376699,False,True
"Beta(2,2)",10,18,Efficient betting,Uniformly randomized,0.4783758813269469,0.48535156250000017,0.00697568117305325,0.014582008511180966,False,True
"Beta(2,2)",10,19,STaR betting,Deterministic,0.51768798828125,0.62445068359375,0.10676269531250004,0.2062298097102031,False,True
"Beta(2,2)",10,19,STaR betting,Uniformly randomized,0.41597900390625014,0.5130371093750001,0.09705810546874999,0.23332452974146767,False,True
"Beta(2,2)",10,19,Efficient betting,Deterministic,0.6060597207397223,0.6377319335937501,0.03167221285402788,0.052259227548352216,False,True
"Beta(2,2)",10,19,Efficient betting,Uniformly randomized,0.4286462453717483,0.51513671875,0.08649047337825172,0.20177588002256241,False,True
"Beta(2,2)",10,20,STaR betting,Deterministic,0.50958251953125,0.6117126464843751,0.10213012695312507,0.20041921188166256,False,True
"Beta(2,2)",10,20,STaR betting,Uniformly randomized,0.4482421875,0.548382568359375,0.10014038085937504,0.22340686274509824,False,True
"Beta(2,2)",10,20,Efficient betting,Deterministic,0.5920652402564883,0.6804382324218751,0.08837299216538674,0.14926225381362146,False,True
"Beta(2,2)",10,20,Efficient betting,Uniformly randomized,0.5009312722831964,0.5853332519531251,0.08440197966992868,0.16849013894707077,False,True
"Beta(2,2)",10,21,STaR betting,Deterministic,0.521533203125,0.622802734375,0.10126953125000004,0.1941765752270388,False,True
"Beta(2,2)",10,21,STaR betting,Uniformly randomized,0.43618774414062494,0.5352172851562501,0.09902954101562517,0.22703421255159917,False,True
"Beta(2,2)",10,21,Efficient betting,Deterministic,0.6048560496419668,0.64259033203125,0.037734282389283225,0.06238555836817583,False,True
"Beta(2,2)",10,21,Efficient betting,Uniformly randomized,0.45962713845074177,0.5357116699218751,0.07608453147113337,0.16553533311281465,False,True
"Beta(2,2)",10,22,STaR betting,Deterministic,0.4560119628906252,0.598980712890625,0.14296874999999987,0.3135197355212609,False,True
"Beta(2,2)",10,22,STaR betting,Uniformly randomized,0.4356994628906251,0.58160400390625,0.1459045410156249,0.3348742733067167,False,True
"Beta(2,2)",10,22,Efficient betting,Deterministic,0.5018512923270464,0.6067016601562499,0.10485036782920354,0.20892716514292586,False,True
"Beta(2,2)",10,22,Efficient betting,Uniformly randomized,0.44773922115564346,0.5843017578124999,0.13656253665685647,0.30500463261712896,False,True
"Beta(2,2)",10,23,STaR betting,Deterministic,0.5144592285156249,0.61961669921875,0.10515747070312509,0.20440389611930398,False,True
"Beta(2,2)",10,23,STaR betting,Uniformly randomized,0.333697509765625,0.42556762695312506,0.09187011718750004,0.2753095677939752,False,True
"Beta(2,2)",10,23,Efficient betting,Deterministic,0.5727151827886701,0.661126708984375,0.08841152619570491,0.15437259016813676,False,True
"Beta(2,2)",10,23,Efficient betting,Uniformly randomized,0.341831311583519,0.43082885742187504,0.08899754583835606,0.2603551600527134,False,True
"Beta(2,2)",10,24,STaR betting,Deterministic,0.4599648472362358,0.5969966541209457,0.1370318068847099,0.29791799896901905,False,True
"Beta(2,2)",10,24,STaR betting,Uniformly randomized,0.34809123022967214,0.49903480925048427,0.15094357902081212,0.4336322375062964,False,True
"Beta(2,2)",10,24,Efficient betting,Deterministic,0.5210755253210664,0.6125757227187012,0.09150019739763482,0.17559872408372268,False,True
"Beta(2,2)",10,24,Efficient betting,Uniformly randomized,0.3533951099961996,0.4983640867157352,0.14496897671953557,0.4102178344264429,False,True
"Beta(2,2)",10,25,STaR betting,Deterministic,0.5517944335937499,0.6248291015625,0.07303466796875013,0.13235847178284654,False,True
"Beta(2,2)",10,25,STaR betting,Uniformly randomized,0.4435913085937502,0.5485046386718749,0.10491333007812476,0.2365089848372266,False,True
"Beta(2,2)",10,25,Efficient betting,Deterministic,0.6471238266676664,0.69705810546875,0.04993427880108359,0.07716340635797292,False,True
"Beta(2,2)",10,25,Efficient betting,Uniformly randomized,0.45718312822282314,0.55137939453125,0.09419626630842681,0.20603618220687525,False,True
"Beta(2,2)",10,26,STaR betting,Deterministic,0.467626175720545,0.6009610811494945,0.13333490542894955,0.2851313984370092,False,True
"Beta(2,2)",10,26,STaR betting,Uniformly randomized,0.42112016809814146,0.5551340601973296,0.13401389209918813,0.31823194957491663,False,True
"Beta(2,2)",10,26,Efficient betting,Deterministic,0.5124081568792462,0.6182491088010258,0.10584095192177956,0.2065559466625,False,True
