distribution,n,method,replications,coverage,mean_width,q10_width,q90_width,mean_sqrt_n_width,q10_sqrt_n_width,q90_sqrt_n_width,mean_sqrt_n_largest_component,mean_normalized_halfwidth,mean_runtime_seconds,mean_score_evaluations,empty_rate
Bernoulli(0.5),10000,Square-root feedback,50,1.0,0.02624193652312345,0.02538098162448549,0.026820685941152254,2.6241936523123495,2.5380981624485557,2.682068594115226,2.624193652312345,2.6241936523123495,0.003298873799212692,31.0,0.0
Bernoulli(0.5),10000,Squared-hinge feedback,50,1.0,0.026364238157012544,0.02527205060870851,0.027117300447310727,2.6364238157012583,2.527205060870858,2.711730044731073,2.636423815701254,2.6364238157012583,0.003298873799212692,31.0,0.0
Bernoulli(0.5),10000,Target-capped feedback,50,1.0,0.025942779224980762,0.02591951462281454,0.02595767419021262,2.594277922498081,2.5919514622814597,2.5957674190212687,2.594277922498076,2.594277922498081,0.003298873799212692,31.0,0.0
Bernoulli(0.5),30000,Capped original feedback,40,1.0,0.01543875422307513,0.01526235747166422,0.01568490616547034,2.674070671993477,2.6435178584200933,2.716705439054498,2.6740706719934693,2.674070671993477,0.015162476968544012,31.0,0.0
Bernoulli(0.5),30000,Common-clock Efficient betting,30,1.0,0.014873277547106333,0.01485084993141491,0.01489350793591042,2.576127238666165,2.572242661679152,2.5796312447927203,2.5761272386661576,2.576127238666165,0.030582715462272324,123.0,0.0
Bernoulli(0.5),30000,Common-clock STaR betting,30,1.0,0.015099520792652968,0.01476592532244335,0.01540249730174997,2.615313718281771,2.557533287923981,2.667790789007359,2.6153137182817625,2.615313718281771,0.00671069421029335,123.0,0.0
Bernoulli(0.5),30000,Efficient betting,30,1.0,0.014873080800069107,0.01485147538797324,0.014892296627426077,2.576093161079686,2.5723509939328353,2.5794214400088604,2.576093161079686,2.576093161079686,0.04122148624155666,31.0,0.0
Bernoulli(0.5),30000,Gaffke,40,1.0,0.014903672486586025,0.01490337572095938,0.01490393817172806,2.5813917966133477,2.581340395299021,2.581437814629836,2.581391796613338,2.5813917966133477,0.00021255477186055,0.0,0.0
Bernoulli(0.5),30000,Regularized Efficient betting,40,1.0,0.015103566183880788,0.01421514626692542,0.01607674401709248,2.616014400596079,2.4621355571337955,2.7845737457883266,2.6160144005960704,2.616014400596079,0.042483050924783994,31.0,0.0
Bernoulli(0.5),30000,STaR betting,30,1.0,0.01510079525196063,0.014764537790435229,0.01540409623196741,2.6155344611090743,2.557292960330462,2.668067731844789,2.615534461109068,2.6155344611090743,0.009775480767711951,31.0,0.0
Bernoulli(0.5),30000,Square-root feedback,40,1.0,0.015085772701872318,0.0147061090702351,0.015451687735322118,2.612932479107855,2.5471728091296706,2.676310822026679,2.6129324791078474,2.612932479107855,0.009318220155910195,31.0,0.0
Bernoulli(0.5),30000,Squared-hinge feedback,40,1.0,0.015118240694440819,0.01455829841420338,0.01565883404055439,2.6185561003826954,2.5215712525149736,2.7121896145529263,2.6185561003826883,2.6185561003826954,0.009318220155910195,31.0,0.0
Bernoulli(0.5),30000,Target-capped feedback,40,1.0,0.014935944781047285,0.01492480641314968,0.01494391470297578,2.586981521981719,2.5850523000705086,2.58836195295297,2.5869815219817105,2.586981521981719,0.009318220155910195,31.0,0.0
Bernoulli(0.5),100000,Capped original feedback,40,1.0,0.00840541394283152,0.00830096596074918,0.008570611674545479,2.658025273588407,2.624995921549547,2.710265383239362,2.6580252735883936,2.658025273588407,0.049116402874642466,31.025,0.0
Bernoulli(0.5),100000,Common-clock Efficient betting,30,1.0,0.008146052695408672,0.008141949188466141,0.008151742867978871,2.5760080457245396,2.574710402891267,2.577807436284665,2.5760080457245262,2.5760080457245396,0.09865857637487348,123.0,0.0
Bernoulli(0.5),100000,Common-clock STaR betting,30,1.0,0.008318526164593583,0.00808551362222971,0.00850863544534445,2.6305489455820594,2.556863909856424,2.6906667787329686,2.630548945582044,2.6305489455820594,0.023317145952023513,123.0,0.0
Bernoulli(0.5),100000,Efficient betting,30,1.0,0.008146045457973377,0.008141847857693518,0.008151525733850595,2.5760057570465307,2.5746783592873994,2.5777387724443392,2.5760057570465307,2.5760057570465307,0.13777180055233954,31.0,0.0
Bernoulli(0.5),100000,Gaffke,40,1.0,0.008155287689456826,0.00815521692121943,0.00815533006763721,2.5789284072615706,2.5789060283799503,2.5789418084188775,2.578928407261552,2.5789284072615706,0.00023662000457984,0.0,0.0
Bernoulli(0.5),100000,Regularized Efficient betting,40,1.0,0.008229955321230263,0.00794124480435184,0.00858396345200969,2.6025403856510487,2.5112421038730193,2.7144875859992337,2.602540385651034,2.6025403856510487,0.13762806487648044,31.0,0.0
Bernoulli(0.5),100000,STaR betting,30,1.0,0.008318861519306376,0.00808637734373427,0.00850902870185528,2.6306549940537116,2.55713704257829,2.690791137360866,2.630654994053694,2.6306549940537116,0.031955694826319776,31.0,0.0
Bernoulli(0.5),100000,Square-root feedback,40,1.0,0.008306946818180692,0.00808665962132664,0.00849542841215679,2.6268872347339753,2.5572263065906995,2.6864903481323417,2.6268872347339607,2.6268872347339753,0.02979291166739127,31.0,0.0
