distribution,n,repetition,method,lower,upper,empty,width,normalized_width
"Beta(1,5)",50,19,Exact Bernoulli rounding,0.02658900845715423,0.24950820362906714,False,0.22291919517191291,2.1722042624158693
"Beta(1,5)",50,19,Symmetric empirical-variance bound,0.0,0.973511833960855,False,0.973511833960855,9.486247039476574
"Beta(1,5)",50,19,Optimistic hard-boundary benchmark (not valid),0.09878997920844806,0.27738495845389866,False,0.1785949792454506,1.740293270231227
"Beta(1,5)",50,20,Chronological GE,0.1033073696307838,0.26359893241897225,False,0.16029156278818846,1.561938242461743
"Beta(1,5)",50,20,Exact Bernoulli rounding,0.0786551083734551,0.3737897708214383,False,0.29513466244798325,2.8758975702463583
"Beta(1,5)",50,20,Symmetric empirical-variance bound,0.0,0.9880910186820075,False,0.9880910186820075,9.62831182294851
"Beta(1,5)",50,20,Optimistic hard-boundary benchmark (not valid),0.10785259086719595,0.2888878404598476,False,0.18103524959265166,1.7640721361361993
"Beta(1,5)",50,21,Chronological GE,0.12341878330335021,0.21878626244142652,False,0.0953674791380763,0.9292947810969265
"Beta(1,5)",50,21,Exact Bernoulli rounding,0.07980569188336617,0.35851787328884516,False,0.278712181405479,2.71587104901089
"Beta(1,5)",50,21,Symmetric empirical-variance bound,0.0,0.9827353058568113,False,0.9827353058568113,9.576123844169047
"Beta(1,5)",50,21,Optimistic hard-boundary benchmark (not valid),0.11517099142514489,0.2891250576504,False,0.17395406622525508,1.6950705560715262
"Beta(1,5)",50,22,Chronological GE,0.11087491130456328,0.25475272675976157,False,0.1438778154551983,1.40199682561138
"Beta(1,5)",50,22,Exact Bernoulli rounding,0.03323210174847829,0.2674582895362189,False,0.23422618778774063,2.2823836372169692
"Beta(1,5)",50,22,Symmetric empirical-variance bound,0.0,0.999991852113014,False,0.999991852113014,9.74427779476712
"Beta(1,5)",50,22,Optimistic hard-boundary benchmark (not valid),0.11186727216002668,0.296877217702182,False,0.18500994554215533,1.802802993192545
"Beta(1,5)",50,23,Chronological GE,0.14795440016314387,0.25318171782419086,False,0.10522731766104698,1.0253725695072609
"Beta(1,5)",50,23,Exact Bernoulli rounding,0.07849979710055939,0.3448688297416164,False,0.26636903264105705,2.5955949985925604
"Beta(1,5)",50,23,Symmetric empirical-variance bound,0.0,0.9773651971179104,False,0.9773651971179104,9.52379558646436
"Beta(1,5)",50,23,Optimistic hard-boundary benchmark (not valid),0.11466944074382812,0.28608928386332466,False,0.17141984311949654,1.6703761809281197
"Beta(1,5)",50,24,Chronological GE,0.15388423250988126,0.2900963625870645,False,0.13621213007718325,1.3272996491765652
"Beta(1,5)",50,24,Exact Bernoulli rounding,0.0598843269275183,0.31533242677907636,False,0.25544809985155803,2.489177528636182
"Beta(1,5)",50,24,Symmetric empirical-variance bound,0.0,1.0,False,1.0,9.74435719068826
"Beta(1,5)",50,24,Optimistic hard-boundary benchmark (not valid),0.13586913077251644,0.33425990816314943,False,0.198390777390633,1.9331905982326485
