distribution,population_mean,population_variance,population_size,n,sampling_fraction,method,calibration,sqrt_n_mean_width,sqrt_n_standard_error,gaussian_sqrt_n_width,num_simulations
"Beta(2,2)",0.5,0.0499997232432935,4000,2800,0.7,Bridge-efficient betting,Uniformly randomized Markov,0.6331675448571992,0.0008433022772182821,0.6310238825462958,200
"Beta(2,2)",0.5,0.0499997232432935,4000,3200,0.8,Bridge-efficient betting,Uniformly randomized Markov,0.5176983275216415,0.0007372927929765679,0.5152288425827894,200
"Beta(2,2)",0.5,0.0499997232432935,4000,3600,0.9,Bridge-efficient betting,Uniformly randomized Markov,0.3677893089316774,0.0007034529155203441,0.3643218084531866,200
"Beta(2,2)",0.5,0.0499997232432935,4000,400,0.1,WSR running intersection,Deterministic Markov,1.280103942202405,0.004888624043195645,1.09296542535956,200
"Beta(2,2)",0.5,0.0499997232432935,4000,1200,0.3,WSR running intersection,Deterministic Markov,1.130158823093376,0.004346386354941553,0.9639049023644412,200
"Beta(2,2)",0.5,0.0499997232432935,4000,2000,0.5,WSR running intersection,Deterministic Markov,0.9852719762977425,0.0030994391734182197,0.814648329386983,200
"Beta(2,2)",0.5,0.0499997232432935,4000,2800,0.7,WSR running intersection,Deterministic Markov,0.8111987003708211,0.0018402894265658026,0.6310238825462958,200
"Beta(2,2)",0.5,0.0499997232432935,4000,3200,0.8,WSR running intersection,Deterministic Markov,0.7021139967072153,0.0013438147165112573,0.5152288425827894,200
"Beta(2,2)",0.5,0.0499997232432935,4000,3600,0.9,WSR running intersection,Deterministic Markov,0.5589750759769196,0.0008089392102388712,0.3643218084531866,200
"Beta(2,2)",0.5,0.0499997232432935,4000,400,0.1,WSR running intersection,Uniformly randomized Markov,1.2087643263861545,0.006385940963210241,1.09296542535956,200
"Beta(2,2)",0.5,0.0499997232432935,4000,1200,0.3,WSR running intersection,Uniformly randomized Markov,1.0655622577190562,0.005618869370186442,0.9639049023644412,200
"Beta(2,2)",0.5,0.0499997232432935,4000,2000,0.5,WSR running intersection,Uniformly randomized Markov,0.9137569407166194,0.005716330374726824,0.814648329386983,200
"Beta(2,2)",0.5,0.0499997232432935,4000,2800,0.7,WSR running intersection,Uniformly randomized Markov,0.7509213196609374,0.004086414612040653,0.6310238825462958,200
