distribution,population_mean,population_variance,replication,n,sampling_fraction,method,width,calibration,normalized_width
"Uniform(0,1)",0.5,0.08333332812500001,3,3600,0.9,WSR running intersection,0.00736060217022938,Uniformly randomized Markov,0.9389746413067995
"Uniform(0,1)",0.5,0.08333332812500001,3,3600,0.9,Bardenet--Maillard EBS,0.028393421444227407,As published,3.6220817399828835
"Uniform(0,1)",0.5,0.08333332812500001,3,3600,0.9,Shekhar--Ramdas AS-CI,0.030101111046802964,As published,3.8399276709214067
"Uniform(0,1)",0.5,0.08333332812500001,4,400,0.1,Bridge-efficient betting,0.07159247612580671,Deterministic Markov,1.0147647952921053
"Uniform(0,1)",0.5,0.08333332812500001,4,400,0.1,Bridge-efficient betting,0.06982346205040829,Uniformly randomized Markov,0.9896904676080619
"Uniform(0,1)",0.5,0.08333332812500001,4,400,0.1,WSR running intersection,0.08510506544262164,Deterministic Markov,1.2062946972310777
"Uniform(0,1)",0.5,0.08333332812500001,4,400,0.1,WSR running intersection,0.08315857462584986,Uniformly randomized Markov,1.1787047818920917
"Uniform(0,1)",0.5,0.08333332812500001,4,400,0.1,Bardenet--Maillard EBS,0.25291061410328436,As published,3.5848011053106745
"Uniform(0,1)",0.5,0.08333332812500001,4,400,0.1,Shekhar--Ramdas AS-CI,0.29501987346107644,As published,4.181665416541125
"Uniform(0,1)",0.5,0.08333332812500001,4,1200,0.3,Bridge-efficient betting,0.036292781773954674,Deterministic Markov,1.0103018031640727
"Uniform(0,1)",0.5,0.08333332812500001,4,1200,0.3,Bridge-efficient betting,0.03590145874768497,Uniformly randomized Markov,0.9994083323487926
"Uniform(0,1)",0.5,0.08333332812500001,4,1200,0.3,WSR running intersection,0.04186541223898521,Deterministic Markov,1.165430132600307
"Uniform(0,1)",0.5,0.08333332812500001,4,1200,0.3,WSR running intersection,0.04186541223898521,Uniformly randomized Markov,1.165430132600307
"Uniform(0,1)",0.5,0.08333332812500001,4,1200,0.3,Bardenet--Maillard EBS,0.10229382472326559,As published,2.8476085469048207
"Uniform(0,1)",0.5,0.08333332812500001,4,1200,0.3,Shekhar--Ramdas AS-CI,0.15017844096043564,As published,4.180598518011161
"Uniform(0,1)",0.5,0.08333332812500001,4,2000,0.5,Bridge-efficient betting,0.02396280597895384,Deterministic Markov,1.0189595284200064
"Uniform(0,1)",0.5,0.08333332812500001,4,2000,0.5,Bridge-efficient betting,0.023324593901634216,Uniformly randomized Markov,0.9918211257676328
"Uniform(0,1)",0.5,0.08333332812500001,4,2000,0.5,WSR running intersection,0.02864642022177577,Deterministic Markov,1.2181187322444083
