distribution,population_mean,population_variance,replication,n,sampling_fraction,method,lower,upper,width,normalized_width
"Uniform(0,1)",0.5,0.08333325,5,200,0.2,Hedged-WoR,0.43198925012207046,0.5449320411071777,0.11294279098510729,1.5773352811418422
"Uniform(0,1)",0.5,0.08333325,5,350,0.35,Hedged-WoR,0.4543396457099914,0.5369830383920668,0.08264339268207543,1.693873520730263
"Uniform(0,1)",0.5,0.08333325,5,500,0.5,Hedged-WoR,0.45879269954490653,0.5252434444122314,0.06645074486732483,1.8560742730575452
"Uniform(0,1)",0.5,0.08333325,5,650,0.65,Hedged-WoR,0.4666698294095992,0.5205086784772873,0.0538388490676881,2.049339547413408
"Uniform(0,1)",0.5,0.08333325,5,800,0.8,Hedged-WoR,0.47450292050552395,0.5175639504165653,0.04306102991104138,2.405525173534836
"Uniform(0,1)",0.5,0.08333325,5,900,0.9,Hedged-WoR,0.4799354442176821,0.5147515841541292,0.034816139936447166,2.9174093572118807
"Uniform(0,1)",0.5,0.08333325,5,950,0.95,Hedged-WoR,0.48284760962867757,0.5122994328632358,0.029451823234558194,3.585786958165982
"Uniform(0,1)",0.5,0.08333325,6,10,0.01,Stitched bridge-efficient,0.37763424549102775,0.9777835551261902,0.6001493096351624,1.6847567736794322
"Uniform(0,1)",0.5,0.08333325,6,20,0.02,Stitched bridge-efficient,0.4284083780975342,0.7970026204318998,0.36859424233436566,1.4707742054658057
"Uniform(0,1)",0.5,0.08333325,6,40,0.04,Stitched bridge-efficient,0.42605264431762696,0.6771161056213377,0.25106346130371077,1.4314407903212605
"Uniform(0,1)",0.5,0.08333325,6,75,0.075,Stitched bridge-efficient,0.4240613413872718,0.597652169865608,0.17359082847833618,1.3806450456357324
"Uniform(0,1)",0.5,0.08333325,6,125,0.125,Stitched bridge-efficient,0.42497682532072073,0.5613814513921739,0.13640462607145315,1.4400433864655082
"Uniform(0,1)",0.5,0.08333325,6,200,0.2,Stitched bridge-efficient,0.43340583908081054,0.541893302078247,0.1084874629974365,1.5151131068647918
"Uniform(0,1)",0.5,0.08333325,6,350,0.35,Stitched bridge-efficient,0.446153112941742,0.524771648341179,0.07861853539943697,1.611379337535164
"Uniform(0,1)",0.5,0.08333325,6,500,0.5,Stitched bridge-efficient,0.4542636515254974,0.5137040557022095,0.059440404176712036,1.6602643836846875
"Uniform(0,1)",0.5,0.08333325,6,650,0.65,Stitched bridge-efficient,0.47851543000221225,0.5141234087038039,0.03560797870159166,1.3553937392844728
"Uniform(0,1)",0.5,0.08333325,6,800,0.8,Stitched bridge-efficient,0.48594208001327516,0.5136978769226075,0.02775579690933233,1.550526504239495
"Uniform(0,1)",0.5,0.08333325,6,900,0.9,Stitched bridge-efficient,0.492983531118393,0.5118936649570466,0.018910133838653587,1.5845697285144444
"Uniform(0,1)",0.5,0.08333325,6,950,0.95,Stitched bridge-efficient,0.49371345180511483,0.5073660506629944,0.013652598857879616,1.6622166491958739
"Uniform(0,1)",0.5,0.08333325,6,10,0.01,Hedged-WoR,0.3757348767280578,0.9199683466911317,0.544233469963074,1.5277881858112028
"Uniform(0,1)",0.5,0.08333325,6,20,0.02,Hedged-WoR,0.4429836532802581,0.7872918257446289,0.34430817246437073,1.3738673061862274
"Uniform(0,1)",0.5,0.08333325,6,40,0.04,Hedged-WoR,0.45075980908203117,0.6856103683166503,0.23485055923461917,1.3390027699471716
"Uniform(0,1)",0.5,0.08333325,6,75,0.075,Hedged-WoR,0.45075979362154,0.6149459792199135,0.16418618559837345,1.305845739059381
"Uniform(0,1)",0.5,0.08333325,6,125,0.125,Hedged-WoR,0.45075981279611593,0.5798372622370721,0.12907744944095617,1.3626893219289828
"Uniform(0,1)",0.5,0.08333325,6,200,0.2,Hedged-WoR,0.45075980293273926,0.5611446963500974,0.11038489341735819,1.5416122213168943
"Uniform(0,1)",0.5,0.08333325,6,350,0.35,Hedged-WoR,0.4565213259992601,0.5385297980842592,0.08200847208499906,1.6808600764336186
"Uniform(0,1)",0.5,0.08333325,6,500,0.5,Hedged-WoR,0.4605459512825012,0.5271144153232574,0.06656846404075623,1.859362355526566
"Uniform(0,1)",0.5,0.08333325,6,650,0.65,Hedged-WoR,0.47198628356933575,0.5264245080041883,0.05443822443485252,2.072154367286901
"Uniform(0,1)",0.5,0.08333325,6,800,0.8,Hedged-WoR,0.47747768401336665,0.520656516544342,0.04317883253097532,2.412106000058142
"Uniform(0,1)",0.5,0.08333325,6,900,0.9,Hedged-WoR,0.48275918281173696,0.5177419952163697,0.03498281240463269,2.931375633173594
"Uniform(0,1)",0.5,0.08333325,6,950,0.95,Hedged-WoR,0.4849846138381958,0.5146095438623428,0.02962493002414701,3.606862871311801
"Uniform(0,1)",0.5,0.08333325,7,10,0.01,Stitched bridge-efficient,0.2536527552242279,0.9261528613204958,0.6725001060962679,1.8878620550852372
"Uniform(0,1)",0.5,0.08333325,7,20,0.02,Stitched bridge-efficient,0.2923352674350739,0.7483038810596467,0.45596861362457286,1.8194176641876985
"Uniform(0,1)",0.5,0.08333325,7,40,0.04,Stitched bridge-efficient,0.34584470297241215,0.654488024963379,0.30864332199096683,1.759732931522357
"Uniform(0,1)",0.5,0.08333325,7,75,0.075,Stitched bridge-efficient,0.4323885857491493,0.6351295783548355,0.20274099260568623,1.6124892624914458
