distribution,replication,method,simultaneously_covered
"Beta(50,50)",17,Hedged-WoR,1
"Beta(50,50)",18,Stitched bridge-efficient,1
"Beta(50,50)",18,Hedged-WoR,1
"Beta(50,50)",19,Stitched bridge-efficient,1
"Beta(50,50)",19,Hedged-WoR,1
"Beta(50,50)",20,Stitched bridge-efficient,1
"Beta(50,50)",20,Hedged-WoR,1
"Beta(50,50)",21,Stitched bridge-efficient,1
"Beta(50,50)",21,Hedged-WoR,1
"Beta(50,50)",22,Stitched bridge-efficient,1
"Beta(50,50)",22,Hedged-WoR,1
"Beta(50,50)",23,Stitched bridge-efficient,1
"Beta(50,50)",23,Hedged-WoR,1
"Beta(50,50)",24,Stitched bridge-efficient,1
"Beta(50,50)",24,Hedged-WoR,1
"Beta(50,50)",25,Stitched bridge-efficient,1
"Beta(50,50)",25,Hedged-WoR,1
"Beta(50,50)",26,Stitched bridge-efficient,1
"Beta(50,50)",26,Hedged-WoR,1
"Beta(50,50)",27,Stitched bridge-efficient,1
"Beta(50,50)",27,Hedged-WoR,1
"Beta(50,50)",28,Stitched bridge-efficient,1
"Beta(50,50)",28,Hedged-WoR,1
"Beta(50,50)",29,Stitched bridge-efficient,1
"Beta(50,50)",29,Hedged-WoR,1
"Beta(50,50)",30,Stitched bridge-efficient,1
"Beta(50,50)",30,Hedged-WoR,1
"Beta(50,50)",31,Stitched bridge-efficient,1
"Beta(50,50)",31,Hedged-WoR,1
